decode_step,l2_retained_fraction,policy
0,1.0125558163742654,kv_int4_sim
1,1.0002249692381502,kv_int4_sim
2,1.0002219141301165,kv_int4_sim
3,1.000211090671399,kv_int4_sim
4,1.0002413421598861,kv_int4_sim
5,1.0002169494995845,kv_int4_sim
6,1.000252190683467,kv_int4_sim
7,1.0002458235820277,kv_int4_sim
8,1.0002338071659707,kv_int4_sim
9,1.0002369397038822,kv_int4_sim
10,1.0002474677354771,kv_int4_sim
11,1.0002375166286812,kv_int4_sim
12,1.0002557798167637,kv_int4_sim
13,1.00023621568592,kv_int4_sim
14,1.0002391835259057,kv_int4_sim
15,1.000227494308753,kv_int4_sim
16,1.000235487178626,kv_int4_sim
17,1.0002165688930156,kv_int4_sim
18,1.0002247533290771,kv_int4_sim
19,1.0002233967465035,kv_int4_sim
20,1.0002151248260553,kv_int4_sim
21,1.0002146849207891,kv_int4_sim
22,1.0002074652503379,kv_int4_sim
23,1.0002096082948315,kv_int4_sim
24,1.0002016972222403,kv_int4_sim
25,1.0001953877306462,kv_int4_sim
26,1.0001949703007726,kv_int4_sim
27,1.0001953694542596,kv_int4_sim
28,1.0001920317124275,kv_int4_sim
29,1.0001866259404246,kv_int4_sim
30,1.0001845470054094,kv_int4_sim
31,1.0001843610741312,kv_int4_sim
32,1.00018534174708,kv_int4_sim
33,1.000179914382392,kv_int4_sim
34,1.0001788224826402,kv_int4_sim
35,1.0001767334655736,kv_int4_sim
36,1.0001796015652265,kv_int4_sim
37,1.000171613182603,kv_int4_sim
38,1.0001702910380383,kv_int4_sim
39,1.000168112259578,kv_int4_sim
40,1.000167281163609,kv_int4_sim
41,1.000163499028657,kv_int4_sim
42,1.0001624861664382,kv_int4_sim
43,1.000161850128934,kv_int4_sim
44,1.0001600227429117,kv_int4_sim
45,1.0001622478733665,kv_int4_sim
46,1.0001576599650621,kv_int4_sim
47,1.0001539771206884,kv_int4_sim
48,1.0001538105450993,kv_int4_sim
49,1.0001513622443188,kv_int4_sim
50,1.0001495079294218,kv_int4_sim
51,1.0001471953299532,kv_int4_sim
52,1.0001506685833679,kv_int4_sim
53,1.0001468668011695,kv_int4_sim
54,1.000143987108486,kv_int4_sim
55,1.0001472454590603,kv_int4_sim
