evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,897.0,1.0,system,0
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1703.0,1.0,system,1
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1811.0,1.0,system,2
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,2119.0,1.0,system,3
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,2118.0,1.0,system,4
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,2062.0,1.0,system,5
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1995.0,1.0,system,6
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1844.0,1.0,system,7
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1926.0,1.0,system,8
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1850.0,1.0,system,9
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1864.0,1.0,system,10
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1691.0,1.0,system,11
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1961.0,1.0,system,12
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1742.0,1.0,system,13
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1701.0,1.0,system,14
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1588.0,1.0,system,15
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1875.0,1.0,system,16
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1525.0,1.0,system,17
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1603.0,1.0,system,18
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1249.0,1.0,system,19
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1218.0,1.0,system,20
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1121.0,1.0,system,21
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,998.0,1.0,system,22
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,852.0,1.0,system,23
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,1022.0,1.0,system,24
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,879.0,1.0,system,25
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,836.0,1.0,system,26
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,765.0,1.0,system,27
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,666.0,1.0,system,28
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,616.0,1.0,system,29
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,579.0,1.0,system,30
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,447.0,1.0,system,31
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,435.0,1.0,system,32
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,295.0,1.0,system,33
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,247.0,1.0,system,34
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,130.0,1.0,system,35
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,101.0,1.0,system,36
0.0,0,L00-L02,legacy_row_order,legacy row-order layer inference,kv_int4_sim,38.0,1.0,system,37
