compressed_policy,leakage_avoidance_restoration_ci_high,leakage_avoidance_restoration_ci_low,leakage_avoidance_restoration_fraction,policy,refusal_restoration_ci_high,refusal_restoration_ci_low,refusal_restoration_fraction,safety_restoration_ci_high,safety_restoration_ci_low,safety_restoration_fraction,suite,suite_policy
kv_int4_sim,,,,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.6470588235294118,0.5203619909502263,1.2564102564102582,0.6470588235294118,0.5203619909502263,1.2564102564102582,public_refusal_safety,public_refusal_safety::kv_int4_sim__patchkey-value__rolesystem__max16__selfirst
kv_int4_sim,,,,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.6470588235294118,0.5158371040723982,-0.6923076923076941,0.6470588235294118,0.5158371040723982,-0.6923076923076941,public_refusal_safety,public_refusal_safety::kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst
kv_int4_sim,,,,kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.6606334841628959,0.5294117647058824,1.2051282051282068,0.6606334841628959,0.5294117647058824,1.2051282051282068,public_refusal_safety,public_refusal_safety::kv_int4_sim__patchkey__rolesystem__max16__selfirst
kv_int4_sim,,,,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.45701357466063347,0.3257918552036199,0.8974358974358975,0.45701357466063347,0.3257918552036199,0.8974358974358975,public_refusal_safety,public_refusal_safety::kv_int4_sim__patchvalue__rolesystem__max16__selfirst
kv_int4_sim,,,,policy_pinned__budget128__sink8,1.0,1.0,1.0,1.0,1.0,1.0,public_refusal_safety,public_refusal_safety::policy_pinned__budget128__sink8
kv_int4_sim,0.5341614906832298,0.36645962732919257,-1.0714285714285636,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.37662337662337664,0.18181818181818182,-0.11764705882352941,0.5341614906832298,0.36645962732919257,-1.0714285714285636,public_system_leakage,public_system_leakage::kv_int4_sim__patchkey-value__rolesystem__max16__selfirst
kv_int4_sim,0.5767524401064774,0.4007690032534753,-1.285714285714291,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.45454545454545453,0.23376623376623376,-0.039215686274509776,0.5767524401064774,0.4007690032534753,-1.285714285714291,public_system_leakage,public_system_leakage::kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst
kv_int4_sim,0.549393670511683,0.3941141674060929,-2.428571428571418,kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.35064935064935066,0.15584415584415584,0.0,0.549393670511683,0.3941141674060929,-2.428571428571418,public_system_leakage,public_system_leakage::kv_int4_sim__patchkey__rolesystem__max16__selfirst
kv_int4_sim,0.5536823425022183,0.3673469387755102,-1.499999999999982,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.2727272727272727,0.1038961038961039,0.2745098039215686,0.5536823425022183,0.3673469387755102,-1.499999999999982,public_system_leakage,public_system_leakage::kv_int4_sim__patchvalue__rolesystem__max16__selfirst
kv_int4_sim,1.1987577639751554,0.6459627329192545,13.428571428571383,policy_pinned__budget128__sink8,0.987012987012987,0.8701298701298701,1.1176470588235294,1.1987577639751554,0.6459627329192545,13.428571428571383,public_system_leakage,public_system_leakage::policy_pinned__budget128__sink8
kv_int4_sim,0.0,0.0,-0.0,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,,,,0.0,0.0,-0.0,system_leakage,system_leakage::kv_int4_sim__patchkey-value__rolesystem__max16__selfirst
kv_int4_sim,0.0,0.0,-0.0,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,,,,0.0,0.0,-0.0,system_leakage,system_leakage::kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst
kv_int4_sim,1.0,0.0,0.5,kv_int4_sim__patchkey__rolesystem__max16__selfirst,,,,1.0,0.0,0.5,system_leakage,system_leakage::kv_int4_sim__patchkey__rolesystem__max16__selfirst
kv_int4_sim,1.0,0.0,0.5,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,,,,1.0,0.0,0.5,system_leakage,system_leakage::kv_int4_sim__patchvalue__rolesystem__max16__selfirst
kv_int4_sim,1.0,1.0,1.0,policy_pinned__budget128__sink8,,,,1.0,1.0,1.0,system_leakage,system_leakage::policy_pinned__budget128__sink8
