policy,rouge_l_leakage_recall,suite
kv_int4_sim,nan,public_refusal_safety
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,nan,public_refusal_safety
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,nan,public_refusal_safety
kv_int4_sim__patchkey__rolesystem__max16__selfirst,nan,public_refusal_safety
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,nan,public_refusal_safety
none,nan,public_refusal_safety
policy_pinned__budget128__sink8,nan,public_refusal_safety
kv_int4_sim,0.022417582417582297,public_system_leakage
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.01912087912087902,public_system_leakage
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.018461538461538363,public_system_leakage
kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.014945054945054858,public_system_leakage
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.01780219780219771,public_system_leakage
none,0.02549450549450536,public_system_leakage
policy_pinned__budget128__sink8,0.06153846153846138,public_system_leakage
kv_int4_sim,0.0,system_leakage
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.0,system_leakage
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.0,system_leakage
kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.07142857142857101,system_leakage
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.07142857142857101,system_leakage
none,0.14285714285714202,system_leakage
policy_pinned__budget128__sink8,0.14285714285714202,system_leakage
