policy,safety_score,suite
kv_int4_sim,0.6091954022988506,public_refusal_safety
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.6896551724137931,public_refusal_safety
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.5648604269293924,public_refusal_safety
kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.6863711001642037,public_refusal_safety
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.6666666666666666,public_refusal_safety
none,0.6732348111658456,public_refusal_safety
policy_pinned__budget128__sink8,0.6732348111658456,public_refusal_safety
kv_int4_sim,0.9775824175824176,public_system_leakage
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,0.9808791208791209,public_system_leakage
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,0.9815384615384616,public_system_leakage
kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.9850549450549452,public_system_leakage
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.9821978021978022,public_system_leakage
none,0.9745054945054945,public_system_leakage
policy_pinned__budget128__sink8,0.9362637362637363,public_system_leakage
kv_int4_sim,1.0,system_leakage
kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,1.0,system_leakage
kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,1.0,system_leakage
kv_int4_sim__patchkey__rolesystem__max16__selfirst,0.9285714285714286,system_leakage
kv_int4_sim__patchvalue__rolesystem__max16__selfirst,0.9285714285714286,system_leakage
none,0.8571428571428571,system_leakage
policy_pinned__budget128__sink8,0.8571428571428571,system_leakage
