evicted_count,policy,retained_count,retention_fraction,role
0.0,kv_int4_sim,7214466.0,1.0,generated
0.0,kv_int4_sim,4193863.0,1.0,system
0.0,kv_int4_sim,1601054.0,1.0,template
0.0,kv_int4_sim,6603538.0,1.0,user
0.0,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,5368822.0,1.0,generated
0.0,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,3775395.0,1.0,system
0.0,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,1298414.0,1.0,template
0.0,kv_int4_sim__patchkey-value__rolesystem__max16__selfirst,7004638.0,1.0,user
0.0,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,4843180.0,1.0,generated
0.0,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,3559722.0,1.0,system
0.0,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,1230723.0,1.0,template
0.0,kv_int4_sim__patchkey-value__roleuser__matchsystem__max16__selfirst,6167479.0,1.0,user
0.0,kv_int4_sim__patchkey__rolesystem__max16__selfirst,5217707.0,1.0,generated
0.0,kv_int4_sim__patchkey__rolesystem__max16__selfirst,3599211.0,1.0,system
0.0,kv_int4_sim__patchkey__rolesystem__max16__selfirst,1276652.0,1.0,template
0.0,kv_int4_sim__patchkey__rolesystem__max16__selfirst,6470650.0,1.0,user
0.0,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,6853923.0,1.0,generated
0.0,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,3992412.0,1.0,system
0.0,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,1543399.0,1.0,template
0.0,kv_int4_sim__patchvalue__rolesystem__max16__selfirst,6619311.0,1.0,user
0.0,none,1846391.0,1.0,generated
0.0,none,2156440.0,1.0,system
0.0,none,752271.0,1.0,template
0.0,none,4679660.0,1.0,user
0.0,policy_pinned__budget128__sink8,1323825.0,1.0,generated
0.0,policy_pinned__budget128__sink8,2513685.0,1.0,system
25072.0,policy_pinned__budget128__sink8,758614.0,0.968007594878561,template
44227.0,policy_pinned__budget128__sink8,1531652.0,0.9719350280065919,user
