decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9610059135404961,policy_pinned__budget128__sink8
1,0.9995209214058777,policy_pinned__budget128__sink8
0,0.9613241430899403,random_matched__budget128__seed991
1,0.999467578584652,random_matched__budget128__seed991
0,0.961316295042325,sink_recent__budget128__sink8
1,0.9994596364664683,sink_recent__budget128__sink8
0,0.962558907503682,sliding_window__budget128
1,0.9995025797268684,sliding_window__budget128
0,0.9611305077188238,user_pinned__budget128__sink8
1,0.9994773770951659,user_pinned__budget128__sink8
