evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2456.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3290.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2777.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3200.0,1.0,system,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5290.0,1.0,system,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6079.0,1.0,system,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6416.0,1.0,system,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6356.0,1.0,system,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7460.0,1.0,system,8
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8117.0,1.0,system,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8371.0,1.0,system,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7548.0,1.0,system,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8346.0,1.0,system,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7346.0,1.0,system,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7015.0,1.0,system,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5942.0,1.0,system,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6831.0,1.0,system,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5738.0,1.0,system,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5752.0,1.0,system,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5035.0,1.0,system,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4864.0,1.0,system,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4504.0,1.0,system,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4089.0,1.0,system,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2792.0,1.0,system,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3586.0,1.0,system,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2812.0,1.0,system,25
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2390.0,1.0,system,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2186.0,1.0,system,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2020.0,1.0,system,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1641.0,1.0,system,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1559.0,1.0,system,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1240.0,1.0,system,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1282.0,1.0,system,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1010.0,1.0,system,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,797.0,1.0,system,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,600.0,1.0,system,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,494.0,1.0,system,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,297.0,1.0,system,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,150.0,1.0,system,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,63.0,1.0,system,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7.0,1.0,system,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8936.0,1.0,template,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10145.0,1.0,template,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9091.0,1.0,template,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7704.0,1.0,template,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5027.0,1.0,template,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3649.0,1.0,template,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3628.0,1.0,template,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2770.0,1.0,template,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2309.0,1.0,template,8
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1167.0,1.0,template,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,803.0,1.0,template,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,618.0,1.0,template,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,834.0,1.0,template,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,786.0,1.0,template,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,914.0,1.0,template,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,857.0,1.0,template,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1071.0,1.0,template,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,927.0,1.0,template,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1005.0,1.0,template,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1008.0,1.0,template,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1117.0,1.0,template,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1172.0,1.0,template,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1444.0,1.0,template,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1302.0,1.0,template,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1922.0,1.0,template,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1812.0,1.0,template,25
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1856.0,1.0,template,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1575.0,1.0,template,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1268.0,1.0,template,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1361.0,1.0,template,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1113.0,1.0,template,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,855.0,1.0,template,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,880.0,1.0,template,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,638.0,1.0,template,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,555.0,1.0,template,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,471.0,1.0,template,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,459.0,1.0,template,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,394.0,1.0,template,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,423.0,1.0,template,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,295.0,1.0,template,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,246.0,1.0,template,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,108.0,1.0,template,41
0.0,0,L00-L04,explicit_layer,explicit layer column,none,348.0,1.0,template,42
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1751.0,1.0,template,43
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3365.0,1.0,template,44
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4608.0,1.0,template,45
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8304.0,1.0,template,46
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7690.0,1.0,template,47
0.0,0,L00-L04,explicit_layer,explicit layer column,none,479.0,1.0,user,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2275.0,1.0,user,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3823.0,1.0,user,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4743.0,1.0,user,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5460.0,1.0,user,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5627.0,1.0,user,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5852.0,1.0,user,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6093.0,1.0,user,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6199.0,1.0,user,8
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6341.0,1.0,user,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6530.0,1.0,user,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6730.0,1.0,user,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7156.0,1.0,user,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7404.0,1.0,user,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7720.0,1.0,user,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7943.0,1.0,user,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8594.0,1.0,user,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8757.0,1.0,user,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9181.0,1.0,user,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9379.0,1.0,user,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9697.0,1.0,user,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9987.0,1.0,user,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10232.0,1.0,user,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9905.0,1.0,user,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11519.0,1.0,user,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11073.0,1.0,user,25
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11359.0,1.0,user,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11749.0,1.0,user,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12428.0,1.0,user,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12368.0,1.0,user,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13318.0,1.0,user,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12568.0,1.0,user,31
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14287.0,1.0,user,32
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14059.0,1.0,user,33
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14252.0,1.0,user,34
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13846.0,1.0,user,35
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15362.0,1.0,user,36
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14945.0,1.0,user,37
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14994.0,1.0,user,38
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14909.0,1.0,user,39
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15793.0,1.0,user,40
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15220.0,1.0,user,41
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15575.0,1.0,user,42
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13732.0,1.0,user,43
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12450.0,1.0,user,44
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11141.0,1.0,user,45
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7474.0,1.0,user,46
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4454.0,1.0,user,47
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6505.0,1.0,special,0
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2456.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3290.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,2777.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,3200.0,1.0,system,3
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5290.0,1.0,system,4
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6079.0,1.0,system,5
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6416.0,1.0,system,6
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6356.0,1.0,system,7
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7460.0,1.0,system,8
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8117.0,1.0,system,9
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8371.0,1.0,system,10
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7548.0,1.0,system,11
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,8346.0,1.0,system,12
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7346.0,1.0,system,13
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,7015.0,1.0,system,14
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,5942.0,1.0,system,15
0.0,0,L00-L04,explicit_layer,explicit layer column,policy_pinned__budget128__sink8,6831.0,1.0,system,16
