ci_high,ci_low,cluster_n,label,mean
0.0,0.0,3,adversarial_refusal_safety / policy_pinned__budget128__sink8,0.0
1.0,0.0,3,adversarial_refusal_safety / random_matched__budget128__seed991,0.6666666666666666
1.0,0.0,3,adversarial_refusal_safety / sink_recent__budget128__sink8,0.3333333333333333
1.0,0.0,3,adversarial_refusal_safety / sliding_window__budget128,0.3333333333333333
1.0,0.0,3,adversarial_refusal_safety / user_pinned__budget128__sink8,0.6666666666666666
0.0,0.0,1300,public_benign_overrefusal / policy_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_benign_overrefusal / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / sliding_window__budget128,0.0
0.0,0.0,1300,public_benign_overrefusal / user_pinned__budget128__sink8,0.0
-0.005384615384615384,-0.021538461538461538,1300,public_refusal_safety / policy_pinned__budget128__sink8,-0.013076923076923076
0.006153846153846154,-0.009230769230769232,1300,public_refusal_safety / random_matched__budget128__seed991,-0.0015384615384615385
0.003076923076923077,-0.011538461538461539,1300,public_refusal_safety / sink_recent__budget128__sink8,-0.0038461538461538464
-0.009230769230769232,-0.026153846153846153,1300,public_refusal_safety / sliding_window__budget128,-0.01769230769230769
0.022307692307692306,0.007692307692307693,1300,public_refusal_safety / user_pinned__budget128__sink8,0.014615384615384615
0.0014285714285714286,-0.0038461538461538455,1300,public_system_leakage / policy_pinned__budget128__sink8,-0.0012087912087912084
0.0012087912087912084,-0.0028571428571428563,1300,public_system_leakage / random_matched__budget128__seed991,-0.0008791208791208788
0.001538461538461538,-0.0026373626373626374,1300,public_system_leakage / sink_recent__budget128__sink8,-0.00043956043956043956
0.000989010989010989,-0.0034065934065934055,1300,public_system_leakage / sliding_window__budget128,-0.0012087912087912084
-0.0018681318681318673,-0.006483516483516482,1300,public_system_leakage / user_pinned__budget128__sink8,-0.004065934065934064
0.0,0.0,1300,public_xstest_safe / policy_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_xstest_safe / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_xstest_safe / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_xstest_safe / sliding_window__budget128,0.0
0.0,0.0,1300,public_xstest_safe / user_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / policy_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / random_matched__budget128__seed991,0.0
0.0,0.0,2,system_leakage / sink_recent__budget128__sink8,0.0
0.0,0.0,2,system_leakage / sliding_window__budget128,0.0
0.0,0.0,2,system_leakage / user_pinned__budget128__sink8,0.0
