max_effect,mean_effect,policy,prompt_count,suite
0.007866769212020595,0.004040217274321688,policy_pinned__budget128__sink8,2,adversarial_refusal_safety
0.01665356484811342,0.013563638406058781,random_matched__budget128__seed991,3,adversarial_refusal_safety
0.06468232463216934,0.0411774665356387,sink_recent__budget128__sink8,3,adversarial_refusal_safety
0.0326819142143043,0.017802483955571373,sliding_window__budget128,3,adversarial_refusal_safety
0.07983420276811015,0.04605777711572418,user_pinned__budget128__sink8,3,adversarial_refusal_safety
0.010394529889756943,0.000919462985698375,policy_pinned__budget128__sink8,48,public_benign_overrefusal
0.0059866608468835975,0.0007495460801625776,random_matched__budget128__seed991,56,public_benign_overrefusal
0.006712316707111912,0.0009342147875679281,sink_recent__budget128__sink8,48,public_benign_overrefusal
0.007966664694078,0.0009097731323001327,sliding_window__budget128,98,public_benign_overrefusal
0.06656497025555888,0.002311303906163869,user_pinned__budget128__sink8,48,public_benign_overrefusal
0.009614940148025171,0.009614940148025171,random_matched__budget128__seed991,2,public_capability_arc
0.009614940148025171,0.009614940148025171,sliding_window__budget128,1,public_capability_arc
1.0,0.3612369574941338,user_pinned__budget128__sink8,12,public_capability_arc
0.673045810361762,0.009409044516371807,policy_pinned__budget128__sink8,354,public_refusal_safety
0.7211205111018879,0.009013268594916813,random_matched__budget128__seed991,369,public_refusal_safety
0.6345860497696613,0.01121876553758879,sink_recent__budget128__sink8,354,public_refusal_safety
0.21152868325655377,0.006493993850778684,sliding_window__budget128,403,public_refusal_safety
0.673045810361762,0.016584822081258454,user_pinned__budget128__sink8,361,public_refusal_safety
0.23076673937728215,0.01046873431546045,policy_pinned__budget128__sink8,308,public_system_leakage
0.6153561694736109,0.017723050859461912,random_matched__budget128__seed991,382,public_system_leakage
0.18749133288649084,0.015057428849461289,sink_recent__budget128__sink8,270,public_system_leakage
0.221152154686468,0.00687084570713951,sliding_window__budget128,495,public_system_leakage
0.7788101519900389,0.042704503013522244,user_pinned__budget128__sink8,311,public_system_leakage
0.004141820371456997,0.0006011863042705036,policy_pinned__budget128__sink8,37,public_xstest_safe
0.005177275464321246,0.0005891781101386722,random_matched__budget128__seed991,78,public_xstest_safe
0.004141820371456997,0.0006011863042705036,sink_recent__budget128__sink8,37,public_xstest_safe
0.005621041932691639,0.0009477677523446736,sliding_window__budget128,136,public_xstest_safe
0.004141820371456997,0.0006011863042705036,user_pinned__budget128__sink8,37,public_xstest_safe
