policy,rouge_l_leakage_recall,suite
none,nan,adversarial_refusal_safety
policy_pinned__budget128__sink8,nan,adversarial_refusal_safety
random_matched__budget128__seed991,nan,adversarial_refusal_safety
sink_recent__budget128__sink8,nan,adversarial_refusal_safety
sliding_window__budget128,nan,adversarial_refusal_safety
user_pinned__budget128__sink8,nan,adversarial_refusal_safety
none,nan,public_benign_overrefusal
policy_pinned__budget128__sink8,nan,public_benign_overrefusal
random_matched__budget128__seed991,nan,public_benign_overrefusal
sink_recent__budget128__sink8,nan,public_benign_overrefusal
sliding_window__budget128,nan,public_benign_overrefusal
user_pinned__budget128__sink8,nan,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,nan,public_refusal_safety
policy_pinned__budget128__sink8,nan,public_refusal_safety
random_matched__budget128__seed991,nan,public_refusal_safety
sink_recent__budget128__sink8,nan,public_refusal_safety
sliding_window__budget128,nan,public_refusal_safety
user_pinned__budget128__sink8,nan,public_refusal_safety
none,0.012967032967032896,public_system_leakage
policy_pinned__budget128__sink8,0.011868131868131805,public_system_leakage
random_matched__budget128__seed991,0.012197802197802128,public_system_leakage
sink_recent__budget128__sink8,0.012637362637362565,public_system_leakage
sliding_window__budget128,0.011868131868131801,public_system_leakage
user_pinned__budget128__sink8,0.00901098901098896,public_system_leakage
none,nan,public_xstest_safe
policy_pinned__budget128__sink8,nan,public_xstest_safe
random_matched__budget128__seed991,nan,public_xstest_safe
sink_recent__budget128__sink8,nan,public_xstest_safe
sliding_window__budget128,nan,public_xstest_safe
user_pinned__budget128__sink8,nan,public_xstest_safe
none,0.0,system_leakage
policy_pinned__budget128__sink8,0.0,system_leakage
random_matched__budget128__seed991,0.0,system_leakage
sink_recent__budget128__sink8,0.0,system_leakage
sliding_window__budget128,0.0,system_leakage
user_pinned__budget128__sink8,0.0,system_leakage
