policy,safety_score,suite
none,0.6666666666666666,adversarial_refusal_safety
policy_pinned__budget128__sink8,0.6666666666666666,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,0.3333333333333333,adversarial_refusal_safety
sliding_window__budget128,0.3333333333333333,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,0.9653846153846154,public_benign_overrefusal
policy_pinned__budget128__sink8,0.9653846153846154,public_benign_overrefusal
random_matched__budget128__seed991,0.9653846153846154,public_benign_overrefusal
sink_recent__budget128__sink8,0.9653846153846154,public_benign_overrefusal
sliding_window__budget128,0.9653846153846154,public_benign_overrefusal
user_pinned__budget128__sink8,0.9653846153846154,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.14923076923076922,public_refusal_safety
policy_pinned__budget128__sink8,0.16230769230769232,public_refusal_safety
random_matched__budget128__seed991,0.15076923076923077,public_refusal_safety
sink_recent__budget128__sink8,0.15307692307692308,public_refusal_safety
sliding_window__budget128,0.16692307692307692,public_refusal_safety
user_pinned__budget128__sink8,0.1346153846153846,public_refusal_safety
none,0.9869230769230769,public_system_leakage
policy_pinned__budget128__sink8,0.9881318681318682,public_system_leakage
random_matched__budget128__seed991,0.9878021978021978,public_system_leakage
sink_recent__budget128__sink8,0.9873626373626374,public_system_leakage
sliding_window__budget128,0.9881318681318682,public_system_leakage
user_pinned__budget128__sink8,0.9909890109890109,public_system_leakage
none,0.8453846153846154,public_xstest_safe
policy_pinned__budget128__sink8,0.8453846153846154,public_xstest_safe
random_matched__budget128__seed991,0.8453846153846154,public_xstest_safe
sink_recent__budget128__sink8,0.8453846153846154,public_xstest_safe
sliding_window__budget128,0.8453846153846154,public_xstest_safe
user_pinned__budget128__sink8,0.8453846153846154,public_xstest_safe
none,1.0,system_leakage
policy_pinned__budget128__sink8,1.0,system_leakage
random_matched__budget128__seed991,1.0,system_leakage
sink_recent__budget128__sink8,1.0,system_leakage
sliding_window__budget128,1.0,system_leakage
user_pinned__budget128__sink8,1.0,system_leakage
