evicted_count,policy,retained_count,retention_fraction,role
0.0,none,8890683.0,1.0,generated
0.0,none,275227.0,1.0,special
0.0,none,5788219.0,1.0,system
0.0,none,4946932.0,1.0,template
0.0,none,28576587.0,1.0,user
0.0,policy_pinned__budget128__sink8,6264231.0,1.0,generated
0.0,policy_pinned__budget128__sink8,276094.0,1.0,special
0.0,policy_pinned__budget128__sink8,5655168.0,1.0,system
74706.0,policy_pinned__budget128__sink8,4658441.0,0.9842164209140346,template
259972.0,policy_pinned__budget128__sink8,8563362.0,0.9705358541340495,user
9717.0,random_matched__budget128__seed991,6245104.0,0.9984464783244796,generated
754.0,random_matched__budget128__seed991,270149.0,0.9972167159462981,special
29171.0,random_matched__budget128__seed991,5720768.0,0.9949267287879054,system
15416.0,random_matched__budget128__seed991,4647840.0,0.99669415532838,template
274429.0,random_matched__budget128__seed991,7868987.0,0.9663005058319506,user
0.0,sink_recent__budget128__sink8,6264231.0,1.0,generated
0.0,sink_recent__budget128__sink8,289727.0,1.0,special
22551.0,sink_recent__budget128__sink8,6188392.0,0.9963691503850542,system
86946.0,sink_recent__budget128__sink8,4823408.0,0.9822933336374526,template
238814.0,sink_recent__budget128__sink8,9596562.0,0.9757188743978877,user
0.0,sliding_window__budget128,6151739.0,1.0,generated
67417.0,sliding_window__budget128,205524.0,0.7529979006451943,special
20409.0,sliding_window__budget128,5600290.0,0.9963689569571329,system
9088.0,sliding_window__budget128,4664836.0,0.9980555952557209,template
234611.0,sliding_window__budget128,8391323.0,0.9728016699409014,user
0.0,user_pinned__budget128__sink8,6264231.0,1.0,generated
523.0,user_pinned__budget128__sink8,295789.0,0.998234968546667,special
22551.0,user_pinned__budget128__sink8,6718000.0,0.9966544278056794,system
99230.0,user_pinned__budget128__sink8,4896729.0,0.9801379474891607,template
232592.0,user_pinned__budget128__sink8,9830451.0,0.9768865143475984,user
