decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9357931583203261,policy_pinned__budget128__sink8
1,0.9984448453323118,policy_pinned__budget128__sink8
0,0.9357931583203261,random_matched__budget128__seed991
1,0.9984448453323118,random_matched__budget128__seed991
0,0.9357891468970164,sink_recent__budget128__sink8
1,0.998444849739402,sink_recent__budget128__sink8
0,0.9357892212123844,sliding_window__budget128
1,0.9984448323987981,sliding_window__budget128
0,0.9357916480528407,user_pinned__budget128__sink8
1,0.9984454726390356,user_pinned__budget128__sink8
