evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L02,explicit_layer,explicit layer column,none,5994.0,1.0,system,25
0.0,0,L00-L02,explicit_layer,explicit layer column,none,9158.0,1.0,system,26
0.0,0,L00-L02,explicit_layer,explicit layer column,none,9388.0,1.0,system,27
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6907.0,1.0,system,28
0.0,0,L00-L02,explicit_layer,explicit layer column,none,10380.0,1.0,system,29
0.0,0,L00-L02,explicit_layer,explicit layer column,none,10283.0,1.0,system,30
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6112.0,1.0,system,31
0.0,0,L00-L02,explicit_layer,explicit layer column,none,9321.0,1.0,system,32
0.0,0,L00-L02,explicit_layer,explicit layer column,none,8343.0,1.0,system,33
0.0,0,L00-L02,explicit_layer,explicit layer column,none,10057.0,1.0,system,34
0.0,0,L00-L02,explicit_layer,explicit layer column,none,9395.0,1.0,system,35
0.0,0,L00-L02,explicit_layer,explicit layer column,none,7880.0,1.0,system,36
0.0,0,L00-L02,explicit_layer,explicit layer column,none,8036.0,1.0,system,37
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6823.0,1.0,system,38
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4539.0,1.0,system,39
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4792.0,1.0,system,40
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4245.0,1.0,system,41
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2658.0,1.0,system,42
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3906.0,1.0,system,43
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3906.0,1.0,system,44
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2604.0,1.0,system,45
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3906.0,1.0,system,46
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2602.0,1.0,system,47
0.0,0,L00-L02,explicit_layer,explicit layer column,none,18820.0,1.0,template,0
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16083.0,1.0,template,1
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13245.0,1.0,template,2
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16373.0,1.0,template,3
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16482.0,1.0,template,4
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13364.0,1.0,template,5
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16661.0,1.0,template,6
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16143.0,1.0,template,7
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13684.0,1.0,template,8
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16509.0,1.0,template,9
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16348.0,1.0,template,10
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13163.0,1.0,template,11
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16774.0,1.0,template,12
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16480.0,1.0,template,13
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13459.0,1.0,template,14
0.0,0,L00-L02,explicit_layer,explicit layer column,none,15966.0,1.0,template,15
0.0,0,L00-L02,explicit_layer,explicit layer column,none,14074.0,1.0,template,16
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16291.0,1.0,template,17
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16416.0,1.0,template,18
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13563.0,1.0,template,19
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16486.0,1.0,template,20
0.0,0,L00-L02,explicit_layer,explicit layer column,none,16439.0,1.0,template,21
0.0,0,L00-L02,explicit_layer,explicit layer column,none,13385.0,1.0,template,22
0.0,0,L00-L02,explicit_layer,explicit layer column,none,15796.0,1.0,template,23
0.0,0,L00-L02,explicit_layer,explicit layer column,none,17373.0,1.0,template,24
0.0,0,L00-L02,explicit_layer,explicit layer column,none,7377.0,1.0,template,25
0.0,0,L00-L02,explicit_layer,explicit layer column,none,7237.0,1.0,template,26
0.0,0,L00-L02,explicit_layer,explicit layer column,none,7041.0,1.0,template,27
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6771.0,1.0,template,28
0.0,0,L00-L02,explicit_layer,explicit layer column,none,5804.0,1.0,template,29
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6240.0,1.0,template,30
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6481.0,1.0,template,31
