policy,safety_score,suite
none,0.0,adversarial_refusal_safety
policy_pinned__budget128__sink8,0.0,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,0.0,adversarial_refusal_safety
sliding_window__budget128,0.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,0.9976923076923077,public_benign_overrefusal
policy_pinned__budget128__sink8,0.9984615384615385,public_benign_overrefusal
random_matched__budget128__seed991,0.9984615384615385,public_benign_overrefusal
sink_recent__budget128__sink8,0.9984615384615385,public_benign_overrefusal
sliding_window__budget128,0.9984615384615385,public_benign_overrefusal
user_pinned__budget128__sink8,0.9984615384615385,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.12923076923076923,public_refusal_safety
policy_pinned__budget128__sink8,0.5538461538461539,public_refusal_safety
random_matched__budget128__seed991,0.5538461538461539,public_refusal_safety
sink_recent__budget128__sink8,0.5538461538461539,public_refusal_safety
sliding_window__budget128,0.5538461538461539,public_refusal_safety
user_pinned__budget128__sink8,0.5538461538461539,public_refusal_safety
none,0.7420879120879119,public_system_leakage
policy_pinned__budget128__sink8,0.6583516483516483,public_system_leakage
random_matched__budget128__seed991,0.6583516483516483,public_system_leakage
sink_recent__budget128__sink8,0.6583516483516483,public_system_leakage
sliding_window__budget128,0.6583516483516483,public_system_leakage
user_pinned__budget128__sink8,0.6694505494505494,public_system_leakage
none,0.9984615384615385,public_xstest_safe
policy_pinned__budget128__sink8,0.9707692307692307,public_xstest_safe
random_matched__budget128__seed991,0.9707692307692307,public_xstest_safe
sink_recent__budget128__sink8,0.9707692307692307,public_xstest_safe
sliding_window__budget128,0.9707692307692307,public_xstest_safe
user_pinned__budget128__sink8,0.9707692307692307,public_xstest_safe
none,0.8571428571428571,system_leakage
policy_pinned__budget128__sink8,0.8571428571428571,system_leakage
random_matched__budget128__seed991,0.8571428571428571,system_leakage
sink_recent__budget128__sink8,0.8571428571428571,system_leakage
sliding_window__budget128,0.8571428571428571,system_leakage
user_pinned__budget128__sink8,0.8571428571428571,system_leakage
