evicted_count,policy,retained_count,retention_fraction,role
0.0,none,9326575.0,1.0,generated
0.0,none,19400691.0,1.0,system
0.0,none,59475792.0,1.0,template
0.0,none,15769792.0,1.0,user
0.0,policy_pinned__budget128__sink8,8491584.0,1.0,generated
0.0,policy_pinned__budget128__sink8,18738273.0,1.0,system
0.0,policy_pinned__budget128__sink8,56545334.0,1.0,template
0.0,policy_pinned__budget128__sink8,15108896.0,1.0,user
0.0,random_matched__budget128__seed991,8491584.0,1.0,generated
0.0,random_matched__budget128__seed991,18738273.0,1.0,system
0.0,random_matched__budget128__seed991,56545334.0,1.0,template
0.0,random_matched__budget128__seed991,15108896.0,1.0,user
0.0,sink_recent__budget128__sink8,8491225.0,1.0,generated
0.0,sink_recent__budget128__sink8,18731217.0,1.0,system
0.0,sink_recent__budget128__sink8,56513004.0,1.0,template
0.0,sink_recent__budget128__sink8,15092634.0,1.0,user
0.0,sliding_window__budget128,8491225.0,1.0,generated
0.0,sliding_window__budget128,18731985.0,1.0,system
0.0,sliding_window__budget128,56516412.0,1.0,template
0.0,sliding_window__budget128,15094554.0,1.0,user
0.0,user_pinned__budget128__sink8,8491584.0,1.0,generated
0.0,user_pinned__budget128__sink8,18748893.0,1.0,system
0.0,user_pinned__budget128__sink8,56557193.0,1.0,template
0.0,user_pinned__budget128__sink8,15108896.0,1.0,user
