decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9574117237290029,policy_pinned__budget128__sink8
1,0.9993599908378875,policy_pinned__budget128__sink8
0,0.9570203744855258,random_matched__budget128__seed991
1,0.9993426442716347,random_matched__budget128__seed991
0,0.9585347957909577,sink_recent__budget128__sink8
1,0.9993181232911289,sink_recent__budget128__sink8
0,0.9596986770249661,sliding_window__budget128
1,0.999365115684262,sliding_window__budget128
0,0.9574339052765001,user_pinned__budget128__sink8
1,0.9993434255054724,user_pinned__budget128__sink8
