evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1011.0,1.0,system,0
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1822.0,1.0,system,1
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1751.0,1.0,system,2
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1593.0,1.0,system,3
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1533.0,1.0,system,4
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1262.0,1.0,system,5
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1295.0,1.0,system,6
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1416.0,1.0,system,7
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1819.0,1.0,system,8
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2576.0,1.0,system,9
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3669.0,1.0,system,10
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4545.0,1.0,system,11
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5848.0,1.0,system,12
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5850.0,1.0,system,13
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5950.0,1.0,system,14
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5507.0,1.0,system,15
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6109.0,1.0,system,16
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5686.0,1.0,system,17
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6347.0,1.0,system,18
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6542.0,1.0,system,19
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7082.0,1.0,system,20
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7370.0,1.0,system,21
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7406.0,1.0,system,22
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5943.0,1.0,system,23
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7802.0,1.0,system,24
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6564.0,1.0,system,25
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5923.0,1.0,system,26
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5469.0,1.0,system,27
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5268.0,1.0,system,28
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4083.0,1.0,system,29
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3701.0,1.0,system,30
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2594.0,1.0,system,31
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2493.0,1.0,system,32
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1884.0,1.0,system,33
0.0,0,L00-L03,explicit_layer,explicit layer column,none,1378.0,1.0,system,34
0.0,0,L00-L03,explicit_layer,explicit layer column,none,957.0,1.0,system,35
0.0,0,L00-L03,explicit_layer,explicit layer column,none,829.0,1.0,system,36
0.0,0,L00-L03,explicit_layer,explicit layer column,none,500.0,1.0,system,37
0.0,0,L00-L03,explicit_layer,explicit layer column,none,336.0,1.0,system,38
0.0,0,L00-L03,explicit_layer,explicit layer column,none,175.0,1.0,system,39
0.0,0,L00-L03,explicit_layer,explicit layer column,none,41.0,1.0,system,40
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6.0,1.0,system,41
0.0,0,L00-L03,explicit_layer,explicit layer column,none,14089.0,1.0,template,0
0.0,0,L00-L03,explicit_layer,explicit layer column,none,13565.0,1.0,template,1
0.0,0,L00-L03,explicit_layer,explicit layer column,none,13152.0,1.0,template,2
0.0,0,L00-L03,explicit_layer,explicit layer column,none,12290.0,1.0,template,3
0.0,0,L00-L03,explicit_layer,explicit layer column,none,11900.0,1.0,template,4
0.0,0,L00-L03,explicit_layer,explicit layer column,none,11012.0,1.0,template,5
0.0,0,L00-L03,explicit_layer,explicit layer column,none,11393.0,1.0,template,6
0.0,0,L00-L03,explicit_layer,explicit layer column,none,9984.0,1.0,template,7
0.0,0,L00-L03,explicit_layer,explicit layer column,none,10180.0,1.0,template,8
0.0,0,L00-L03,explicit_layer,explicit layer column,none,9055.0,1.0,template,9
