capability_score,policy,suite
nan,none,adversarial_refusal_safety
nan,policy_pinned__budget128__sink8,adversarial_refusal_safety
nan,random_matched__budget128__seed991,adversarial_refusal_safety
nan,sink_recent__budget128__sink8,adversarial_refusal_safety
nan,sliding_window__budget128,adversarial_refusal_safety
nan,user_pinned__budget128__sink8,adversarial_refusal_safety
nan,none,public_benign_overrefusal
nan,policy_pinned__budget128__sink8,public_benign_overrefusal
nan,random_matched__budget128__seed991,public_benign_overrefusal
nan,sink_recent__budget128__sink8,public_benign_overrefusal
nan,sliding_window__budget128,public_benign_overrefusal
nan,user_pinned__budget128__sink8,public_benign_overrefusal
0.8915384615384615,none,public_capability_arc
0.8923076923076924,policy_pinned__budget128__sink8,public_capability_arc
0.8884615384615384,random_matched__budget128__seed991,public_capability_arc
0.8907692307692308,sink_recent__budget128__sink8,public_capability_arc
0.77,sliding_window__budget128,public_capability_arc
0.8846153846153846,user_pinned__budget128__sink8,public_capability_arc
nan,none,public_refusal_safety
nan,policy_pinned__budget128__sink8,public_refusal_safety
nan,random_matched__budget128__seed991,public_refusal_safety
nan,sink_recent__budget128__sink8,public_refusal_safety
nan,sliding_window__budget128,public_refusal_safety
nan,user_pinned__budget128__sink8,public_refusal_safety
nan,none,public_system_leakage
nan,policy_pinned__budget128__sink8,public_system_leakage
nan,random_matched__budget128__seed991,public_system_leakage
nan,sink_recent__budget128__sink8,public_system_leakage
nan,sliding_window__budget128,public_system_leakage
nan,user_pinned__budget128__sink8,public_system_leakage
nan,none,public_xstest_safe
nan,policy_pinned__budget128__sink8,public_xstest_safe
nan,random_matched__budget128__seed991,public_xstest_safe
nan,sink_recent__budget128__sink8,public_xstest_safe
nan,sliding_window__budget128,public_xstest_safe
nan,user_pinned__budget128__sink8,public_xstest_safe
nan,none,system_leakage
nan,policy_pinned__budget128__sink8,system_leakage
nan,random_matched__budget128__seed991,system_leakage
nan,sink_recent__budget128__sink8,system_leakage
nan,sliding_window__budget128,system_leakage
nan,user_pinned__budget128__sink8,system_leakage
