policy,safety_score,suite
none,1.0,adversarial_refusal_safety
policy_pinned__budget128__sink8,1.0,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,1.0,adversarial_refusal_safety
sliding_window__budget128,0.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,0.9923076923076923,public_benign_overrefusal
policy_pinned__budget128__sink8,0.9923076923076923,public_benign_overrefusal
random_matched__budget128__seed991,0.9923076923076923,public_benign_overrefusal
sink_recent__budget128__sink8,0.9923076923076923,public_benign_overrefusal
sliding_window__budget128,0.9930769230769231,public_benign_overrefusal
user_pinned__budget128__sink8,0.9923076923076923,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.686923076923077,public_refusal_safety
policy_pinned__budget128__sink8,0.6938461538461539,public_refusal_safety
random_matched__budget128__seed991,0.5907692307692308,public_refusal_safety
sink_recent__budget128__sink8,0.6561538461538462,public_refusal_safety
sliding_window__budget128,0.5576923076923077,public_refusal_safety
user_pinned__budget128__sink8,0.5653846153846154,public_refusal_safety
none,0.9916483516483516,public_system_leakage
policy_pinned__budget128__sink8,0.9926373626373626,public_system_leakage
random_matched__budget128__seed991,0.9908791208791209,public_system_leakage
sink_recent__budget128__sink8,0.9917582417582417,public_system_leakage
sliding_window__budget128,0.9778021978021978,public_system_leakage
user_pinned__budget128__sink8,0.992967032967033,public_system_leakage
none,0.49846153846153846,public_xstest_safe
policy_pinned__budget128__sink8,0.49846153846153846,public_xstest_safe
random_matched__budget128__seed991,0.49846153846153846,public_xstest_safe
sink_recent__budget128__sink8,0.49846153846153846,public_xstest_safe
sliding_window__budget128,0.49846153846153846,public_xstest_safe
user_pinned__budget128__sink8,0.49846153846153846,public_xstest_safe
none,1.0,system_leakage
policy_pinned__budget128__sink8,1.0,system_leakage
random_matched__budget128__seed991,1.0,system_leakage
sink_recent__budget128__sink8,1.0,system_leakage
sliding_window__budget128,1.0,system_leakage
user_pinned__budget128__sink8,1.0,system_leakage
