decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9585194337870917,policy_pinned__budget128__sink8
1,0.9994378212350581,policy_pinned__budget128__sink8
0,0.9588592528644183,random_matched__budget128__seed991
1,0.9994997839904097,random_matched__budget128__seed991
0,0.9599897538499198,sink_recent__budget128__sink8
1,0.9994820017864475,sink_recent__budget128__sink8
0,0.961030879433694,sliding_window__budget128
1,0.9995163403202624,sliding_window__budget128
0,0.9586315831173858,user_pinned__budget128__sink8
1,0.9995162782466249,user_pinned__budget128__sink8
