evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5438.0,1.0,system,0
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7637.0,1.0,system,1
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7473.0,1.0,system,2
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8219.0,1.0,system,3
0.0,0,L00-L03,explicit_layer,explicit layer column,none,9159.0,1.0,system,4
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8579.0,1.0,system,5
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8616.0,1.0,system,6
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7807.0,1.0,system,7
0.0,0,L00-L03,explicit_layer,explicit layer column,none,8022.0,1.0,system,8
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7505.0,1.0,system,9
0.0,0,L00-L03,explicit_layer,explicit layer column,none,7007.0,1.0,system,10
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5890.0,1.0,system,11
0.0,0,L00-L03,explicit_layer,explicit layer column,none,6770.0,1.0,system,12
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5760.0,1.0,system,13
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5556.0,1.0,system,14
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4703.0,1.0,system,15
0.0,0,L00-L03,explicit_layer,explicit layer column,none,5781.0,1.0,system,16
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4669.0,1.0,system,17
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4956.0,1.0,system,18
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4058.0,1.0,system,19
0.0,0,L00-L03,explicit_layer,explicit layer column,none,4085.0,1.0,system,20
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3944.0,1.0,system,21
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3276.0,1.0,system,22
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2780.0,1.0,system,23
0.0,0,L00-L03,explicit_layer,explicit layer column,none,3657.0,1.0,system,24
0.0,0,L00-L03,explicit_layer,explicit layer column,none,2649.0,1.0,system,25
