ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.0,-0.002307692307692308,0.002307692307692308,-0.0007692307692307692,capability,0,1300,,,policy_pinned__budget128__sink8
-0.0012625222999862772,-0.007986825854261012,0.006724303554274735,-0.00474818169342665,safety,1,5205,,,policy_pinned__budget128__sink8
-0.0002989517686924031,-0.007601841002417371,0.007302889233724968,-0.003978950924195881,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.004615384615384616,-0.0015384615384615385,0.006153846153846154,0.0015384615384615385,capability,0,1300,,,random_matched__budget128__seed991
0.005983257856456704,0.00035679978043090435,0.005626458076025799,0.003183751886921916,safety,1,5205,,,random_matched__budget128__seed991
0.005652426344068996,-0.0025012931352988987,0.008153719479367895,0.0016452903484603775,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0,0.0,0.0,0.0,capability,0,1300,,,sink_recent__budget128__sink8
0.00354055166735282,-0.0019212295869356385,0.005461781254288459,0.0007410456978180323,safety,1,5205,,,sink_recent__budget128__sink8
0.0035679978043090432,-0.0019212295869356388,0.005489227391244682,0.0007410456978180323,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.014615384615384615,0.0015384615384615385,0.013076923076923076,0.007692307692307693,capability,0,1300,,,sliding_window__budget128
0.020941402497598464,0.013366268697680803,0.007575133799917661,0.016989158775902295,safety,1,5205,,,sliding_window__budget128
0.016605651792971677,0.0019917450465000916,0.014613906746471585,0.009296851083594602,ssei,2,,1300,5205,sliding_window__budget128
0.018461538461538463,0.005384615384615384,0.01307692307692308,0.011538461538461539,capability,0,1300,,,user_pinned__budget128__sink8
0.005928365582544257,0.0008508302456429268,0.005077535336901331,0.0032660902977905866,safety,1,5205,,,user_pinned__budget128__sink8
-0.0017328013005246429,-0.014946955062228836,0.013214153761704194,-0.008272371240670953,ssei,2,,1300,5205,user_pinned__budget128__sink8
