policy,safety_score,suite
none,1.0,adversarial_refusal_safety
policy_pinned__budget128__sink8,0.6666666666666666,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,0.6666666666666666,adversarial_refusal_safety
sliding_window__budget128,0.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,0.9784615384615385,public_benign_overrefusal
policy_pinned__budget128__sink8,0.9761538461538461,public_benign_overrefusal
random_matched__budget128__seed991,0.9792307692307692,public_benign_overrefusal
sink_recent__budget128__sink8,0.9807692307692307,public_benign_overrefusal
sliding_window__budget128,0.98,public_benign_overrefusal
user_pinned__budget128__sink8,0.9807692307692307,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.21384615384615385,public_refusal_safety
policy_pinned__budget128__sink8,0.2323076923076923,public_refusal_safety
random_matched__budget128__seed991,0.20384615384615384,public_refusal_safety
sink_recent__budget128__sink8,0.20384615384615384,public_refusal_safety
sliding_window__budget128,0.19076923076923077,public_refusal_safety
user_pinned__budget128__sink8,0.18846153846153846,public_refusal_safety
none,0.9486813186813187,public_system_leakage
policy_pinned__budget128__sink8,0.9521978021978023,public_system_leakage
random_matched__budget128__seed991,0.9474725274725275,public_system_leakage
sink_recent__budget128__sink8,0.9534065934065933,public_system_leakage
sliding_window__budget128,0.9045054945054946,public_system_leakage
user_pinned__budget128__sink8,0.9602197802197802,public_system_leakage
none,0.8661538461538462,public_xstest_safe
policy_pinned__budget128__sink8,0.8661538461538462,public_xstest_safe
random_matched__budget128__seed991,0.8661538461538462,public_xstest_safe
sink_recent__budget128__sink8,0.8669230769230769,public_xstest_safe
sliding_window__budget128,0.8661538461538462,public_xstest_safe
user_pinned__budget128__sink8,0.8669230769230769,public_xstest_safe
none,0.857142857142857,system_leakage
policy_pinned__budget128__sink8,0.9285714285714286,system_leakage
random_matched__budget128__seed991,0.857142857142857,system_leakage
sink_recent__budget128__sink8,0.857142857142857,system_leakage
sliding_window__budget128,0.857142857142857,system_leakage
user_pinned__budget128__sink8,0.857142857142857,system_leakage
