evicted_count,policy,retained_count,retention_fraction,role
0.0,none,30194954.0,1.0,generated
0.0,none,551681.0,1.0,special
0.0,none,13391974.0,1.0,system
0.0,none,2751900.0,1.0,template
0.0,none,52955627.0,1.0,user
0.0,policy_pinned__budget128__sink8,22523961.0,1.0,generated
0.0,policy_pinned__budget128__sink8,547095.0,1.0,special
0.0,policy_pinned__budget128__sink8,13130059.0,1.0,system
208017.0,policy_pinned__budget128__sink8,2448906.0,0.9217075541895644,template
308637.0,policy_pinned__budget128__sink8,16213493.0,0.9813197814083293,user
79879.0,random_matched__budget128__seed991,22452435.0,0.9964549135965352,generated
3306.0,random_matched__budget128__seed991,549938.0,0.9940243364591392,special
62748.0,random_matched__budget128__seed991,13496501.0,0.9953723100741051,system
10096.0,random_matched__budget128__seed991,2672472.0,0.9962364420957829,template
366774.0,random_matched__budget128__seed991,16479240.0,0.9782278466585627,user
0.0,sink_recent__budget128__sink8,22541893.0,1.0,generated
0.0,sink_recent__budget128__sink8,552501.0,1.0,special
234621.0,sink_recent__budget128__sink8,13175217.0,0.9825038154823347,system
1160.0,sink_recent__budget128__sink8,2678361.0,0.9995670868039475,template
286279.0,sink_recent__budget128__sink8,16607510.0,0.9830541863639944,user
0.0,sliding_window__budget128,22408292.0,1.0,generated
231422.0,sliding_window__budget128,339932.0,0.5949586421027944,special
24904.0,sliding_window__budget128,14616285.0,0.998299045248306,system
2797.0,sliding_window__budget128,2755505.0,0.9989859703542252,template
281790.0,sliding_window__budget128,17848652.0,0.9844576320864102,user
0.0,user_pinned__budget128__sink8,22541893.0,1.0,generated
573.0,user_pinned__budget128__sink8,563382.0,0.9989839614862888,special
248857.0,user_pinned__budget128__sink8,13712650.0,0.9821754915139175,system
2294.0,user_pinned__budget128__sink8,2723043.0,0.9991582692342268,template
281790.0,user_pinned__budget128__sink8,17480626.0,0.9841356040754816,user
