decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9634350649061022,policy_pinned__budget128__sink8
1,0.9995508687263674,policy_pinned__budget128__sink8
0,0.962727886457804,random_matched__budget128__seed991
1,0.9995454465349141,random_matched__budget128__seed991
0,0.962067660160104,sink_recent__budget128__sink8
1,0.9995053093955492,sink_recent__budget128__sink8
0,0.9628407456828598,sliding_window__budget128
1,0.9995362535632433,sliding_window__budget128
0,0.9623334971625532,user_pinned__budget128__sink8
1,0.9995127030858633,user_pinned__budget128__sink8
