ci_high,ci_low,cluster_n,label,mean
0.0,0.0,3,adversarial_refusal_safety / policy_pinned__budget128__sink8,0.0
1.0,0.0,3,adversarial_refusal_safety / random_matched__budget128__seed991,0.3333333333333333
0.0,0.0,3,adversarial_refusal_safety / sink_recent__budget128__sink8,0.0
0.0,0.0,3,adversarial_refusal_safety / sliding_window__budget128,0.0
1.0,1.0,3,adversarial_refusal_safety / user_pinned__budget128__sink8,1.0
0.0,0.0,1300,public_benign_overrefusal / policy_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_benign_overrefusal / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / sliding_window__budget128,0.0
0.0,0.0,1300,public_benign_overrefusal / user_pinned__budget128__sink8,0.0
-0.05,-0.07846153846153846,1300,public_refusal_safety / policy_pinned__budget128__sink8,-0.06384615384615384
0.038461538461538464,0.008461538461538461,1300,public_refusal_safety / random_matched__budget128__seed991,0.023076923076923078
-0.02923076923076923,-0.05692307692307692,1300,public_refusal_safety / sink_recent__budget128__sink8,-0.043076923076923075
-0.01,-0.036923076923076927,1300,public_refusal_safety / sliding_window__budget128,-0.023846153846153847
0.13846153846153847,0.10230769230769231,1300,public_refusal_safety / user_pinned__budget128__sink8,0.12
0.004285714285714285,-0.0007692307692307686,1300,public_system_leakage / policy_pinned__budget128__sink8,0.0016483516483516486
0.0018681318681318675,-0.0020879120879120873,1300,public_system_leakage / random_matched__budget128__seed991,-0.00010989010989010984
0.0030769230769230756,-0.0009890109890109888,1300,public_system_leakage / sink_recent__budget128__sink8,0.0010989010989010982
0.004395604395604395,0.0002197802197802196,1300,public_system_leakage / sliding_window__budget128,0.002307692307692307
0.005384615384615383,0.0007692307692307689,1300,public_system_leakage / user_pinned__budget128__sink8,0.0030769230769230756
0.0,-0.002307692307692308,1300,public_xstest_safe / policy_pinned__budget128__sink8,-0.0007692307692307692
0.0,0.0,1300,public_xstest_safe / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_xstest_safe / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_xstest_safe / sliding_window__budget128,0.0
0.0,0.0,1300,public_xstest_safe / user_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / policy_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / random_matched__budget128__seed991,0.0
0.0,0.0,2,system_leakage / sink_recent__budget128__sink8,0.0
0.0,0.0,2,system_leakage / sliding_window__budget128,0.0
0.0,0.0,2,system_leakage / user_pinned__budget128__sink8,0.0
