ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.002307692307692308,-0.002307692307692308,0.004615384615384616,0.0,capability,0,1300,,,policy_pinned__budget128__sink8
-0.011801838891176067,-0.01956909564978729,0.007767256758611224,-0.015726636475916014,safety,1,5205,,,policy_pinned__budget128__sink8
-0.011390146836832716,-0.020065342918368857,0.00867519608153614,-0.015726636475916014,ssei,2,,1300,5205,policy_pinned__budget128__sink8
0.0038461538461538464,-0.002307692307692308,0.006153846153846154,0.0007692307692307692,capability,0,1300,,,random_matched__budget128__seed991
0.009908055441196651,0.0020859064086729794,0.007822149032523672,0.005928365582544257,safety,1,5205,,,random_matched__budget128__seed991
0.010183255745215399,2.375146467365483e-05,0.010159504280541744,0.005159134813313488,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0015384615384615385,-0.003076923076923077,0.004615384615384615,-0.0007692307692307692,capability,0,1300,,,sink_recent__budget128__sink8
-0.006861534239055853,-0.014189652806367505,0.0073281185673116514,-0.010484424317277344,safety,1,5205,,,sink_recent__budget128__sink8
-0.0052667025577688405,-0.014245284014736464,0.008978581456967623,-0.009715193548046576,ssei,2,,1300,5205,sink_recent__budget128__sink8
0.0,-0.0038461538461538464,0.0038461538461538464,-0.0015384615384615385,capability,0,1300,,,sliding_window__budget128
-0.001976121860848086,-0.009002332921641279,0.007026211060793193,-0.005379442843419789,safety,1,5205,,,sliding_window__budget128
0.0002499709704320654,-0.007683440478829528,0.007933411449261593,-0.0038409813049582503,ssei,2,,1300,5205,sliding_window__budget128
0.010769230769230769,0.0007692307692307692,0.01,0.005384615384615384,capability,0,1300,,,user_pinned__budget128__sink8
0.03620145464525868,0.02662275284753671,0.00957870179772197,0.03131604226705091,safety,1,5205,,,user_pinned__budget128__sink8
0.032933886478555066,0.018736844327622425,0.014197042150932641,0.025931426882435528,ssei,2,,1300,5205,user_pinned__budget128__sink8
