decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
0,0.9629679559924733,policy_pinned__budget128__sink8
1,0.9995384584923809,policy_pinned__budget128__sink8
0,0.963444447044133,random_matched__budget128__seed991
1,0.9995598516834635,random_matched__budget128__seed991
0,0.9637675300725482,sink_recent__budget128__sink8
1,0.9995645523036332,sink_recent__budget128__sink8
0,0.9641865979481904,sliding_window__budget128
1,0.9995705488455817,sliding_window__budget128
0,0.9637346705424519,user_pinned__budget128__sink8
1,0.9995752216863871,user_pinned__budget128__sink8
