evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4676.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6550.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6820.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8112.0,1.0,system,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8863.0,1.0,system,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8089.0,1.0,system,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,8344.0,1.0,system,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7414.0,1.0,system,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7828.0,1.0,system,8
0.0,0,L00-L04,explicit_layer,explicit layer column,none,7139.0,1.0,system,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6657.0,1.0,system,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5534.0,1.0,system,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,6462.0,1.0,system,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5420.0,1.0,system,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5052.0,1.0,system,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4270.0,1.0,system,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,5260.0,1.0,system,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3991.0,1.0,system,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,4192.0,1.0,system,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3220.0,1.0,system,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,3192.0,1.0,system,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2915.0,1.0,system,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2473.0,1.0,system,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1989.0,1.0,system,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,2525.0,1.0,system,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,1913.0,1.0,system,25
