ci_high,ci_low,cluster_n,label,mean
0.0,0.0,3,adversarial_refusal_safety / policy_pinned__budget128__sink8,0.0
1.0,1.0,3,adversarial_refusal_safety / random_matched__budget128__seed991,1.0
0.0,0.0,3,adversarial_refusal_safety / sink_recent__budget128__sink8,0.0
1.0,1.0,3,adversarial_refusal_safety / sliding_window__budget128,1.0
1.0,1.0,3,adversarial_refusal_safety / user_pinned__budget128__sink8,1.0
0.0,0.0,1300,public_benign_overrefusal / policy_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_benign_overrefusal / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_benign_overrefusal / sliding_window__budget128,0.0
0.0,0.0,1300,public_benign_overrefusal / user_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_refusal_safety / policy_pinned__budget128__sink8,0.0
0.18384615384615385,0.1453846153846154,1300,public_refusal_safety / random_matched__budget128__seed991,0.1646153846153846
0.0,0.0,1300,public_refusal_safety / sink_recent__budget128__sink8,0.0
0.2792307692307692,0.23384615384615384,1300,public_refusal_safety / sliding_window__budget128,0.2569230769230769
0.27692307692307694,0.23153846153846153,1300,public_refusal_safety / user_pinned__budget128__sink8,0.25461538461538463
0.000989010989010989,-0.0027472527472527457,1300,public_system_leakage / policy_pinned__budget128__sink8,-0.0008791208791208784
0.010769230769230765,0.005164835164835163,1300,public_system_leakage / random_matched__budget128__seed991,0.00791208791208791
0.0018681318681318675,-0.001428571428571428,1300,public_system_leakage / sink_recent__budget128__sink8,0.00021978021978021978
0.08087912087912087,0.05835164835164835,1300,public_system_leakage / sliding_window__budget128,0.06934065934065933
0.0008791208791208787,-0.0025274725274725264,1300,public_system_leakage / user_pinned__budget128__sink8,-0.0007692307692307689
0.0,0.0,1300,public_xstest_safe / policy_pinned__budget128__sink8,0.0
0.0,0.0,1300,public_xstest_safe / random_matched__budget128__seed991,0.0
0.0,0.0,1300,public_xstest_safe / sink_recent__budget128__sink8,0.0
0.0,0.0,1300,public_xstest_safe / sliding_window__budget128,0.0
0.0,0.0,1300,public_xstest_safe / user_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / policy_pinned__budget128__sink8,0.0
0.0,0.0,2,system_leakage / random_matched__budget128__seed991,0.0
0.0,0.0,2,system_leakage / sink_recent__budget128__sink8,0.0
0.0,0.0,2,system_leakage / sliding_window__budget128,0.0
0.0,0.0,2,system_leakage / user_pinned__budget128__sink8,0.0
