evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L02,explicit_layer,explicit layer column,none,25.0,1.0,system,0
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1526.0,1.0,system,1
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2418.0,1.0,system,2
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2406.0,1.0,system,3
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2445.0,1.0,system,4
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2322.0,1.0,system,5
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2341.0,1.0,system,6
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1998.0,1.0,system,7
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1803.0,1.0,system,8
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1379.0,1.0,system,9
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1033.0,1.0,system,10
0.0,0,L00-L02,explicit_layer,explicit layer column,none,596.0,1.0,system,11
0.0,0,L00-L02,explicit_layer,explicit layer column,none,393.0,1.0,system,12
0.0,0,L00-L02,explicit_layer,explicit layer column,none,133.0,1.0,system,13
0.0,0,L00-L02,explicit_layer,explicit layer column,none,15.0,1.0,system,14
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,15
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,system,16
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,system,17
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,18
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,19
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4.0,1.0,system,20
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,21
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,22
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,23
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4.0,1.0,system,24
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,25
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,26
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,system,27
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,system,28
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,29
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,system,30
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,31
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,32
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2999.0,1.0,template,0
0.0,0,L00-L02,explicit_layer,explicit layer column,none,911.0,1.0,template,1
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,template,3
0.0,0,L00-L02,explicit_layer,explicit layer column,none,10.0,1.0,template,4
0.0,0,L00-L02,explicit_layer,explicit layer column,none,31.0,1.0,template,5
0.0,0,L00-L02,explicit_layer,explicit layer column,none,111.0,1.0,template,6
0.0,0,L00-L02,explicit_layer,explicit layer column,none,293.0,1.0,template,7
0.0,0,L00-L02,explicit_layer,explicit layer column,none,486.0,1.0,template,8
0.0,0,L00-L02,explicit_layer,explicit layer column,none,708.0,1.0,template,9
0.0,0,L00-L02,explicit_layer,explicit layer column,none,847.0,1.0,template,10
0.0,0,L00-L02,explicit_layer,explicit layer column,none,825.0,1.0,template,11
0.0,0,L00-L02,explicit_layer,explicit layer column,none,966.0,1.0,template,12
0.0,0,L00-L02,explicit_layer,explicit layer column,none,830.0,1.0,template,13
0.0,0,L00-L02,explicit_layer,explicit layer column,none,642.0,1.0,template,14
0.0,0,L00-L02,explicit_layer,explicit layer column,none,395.0,1.0,template,15
0.0,0,L00-L02,explicit_layer,explicit layer column,none,275.0,1.0,template,16
0.0,0,L00-L02,explicit_layer,explicit layer column,none,86.0,1.0,template,17
0.0,0,L00-L02,explicit_layer,explicit layer column,none,12.0,1.0,template,18
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,template,19
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,template,20
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1.0,1.0,template,32
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,template,33
0.0,0,L00-L02,explicit_layer,explicit layer column,none,3.0,1.0,template,34
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,template,35
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,template,36
