evicted_count,policy,retained_count,retention_fraction,role
0.0,none,81873.0,1.0,generated
0.0,none,143209.0,1.0,system
0.0,none,116352.0,1.0,template
0.0,none,551204.0,1.0,user
0.0,sink_recent__budget128__sink8,50984.0,1.0,generated
1997.0,sink_recent__budget128__sink8,145020.0,0.9864165368630838,system
184.0,sink_recent__budget128__sink8,115340.0,0.9984072573664347,template
449.0,sink_recent__budget128__sink8,566410.0,0.9992079159014852,user
0.0,sliding_window__budget128,52493.0,1.0,generated
599.0,sliding_window__budget128,249938.0,0.9976091355767811,system
8205.0,sliding_window__budget128,161233.0,0.9515752074505128,template
296.0,sliding_window__budget128,1242250.0,0.9997617794431756,user
