decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
98,1.0,none
99,1.0,none
100,1.0,none
101,1.0,none
102,1.0,none
103,1.0,none
104,1.0,none
105,1.0,none
106,1.0,none
107,1.0,none
108,1.0,none
109,1.0,none
110,1.0,none
111,1.0,none
112,1.0,none
113,1.0,none
114,1.0,none
115,1.0,none
116,1.0,none
117,1.0,none
118,1.0,none
119,1.0,none
120,1.0,none
121,1.0,none
122,1.0,none
123,1.0,none
124,1.0,none
125,1.0,none
126,1.0,none
127,1.0,none
128,1.0,none
129,1.0,none
0,0.9633916096045436,policy_pinned__budget128__sink8
1,0.9995424323991751,policy_pinned__budget128__sink8
2,1.0,policy_pinned__budget128__sink8
3,1.0,policy_pinned__budget128__sink8
4,1.0,policy_pinned__budget128__sink8
5,1.0,policy_pinned__budget128__sink8
6,1.0,policy_pinned__budget128__sink8
7,1.0,policy_pinned__budget128__sink8
8,1.0,policy_pinned__budget128__sink8
9,1.0,policy_pinned__budget128__sink8
10,1.0,policy_pinned__budget128__sink8
11,1.0,policy_pinned__budget128__sink8
12,1.0,policy_pinned__budget128__sink8
13,1.0,policy_pinned__budget128__sink8
14,1.0,policy_pinned__budget128__sink8
15,1.0,policy_pinned__budget128__sink8
16,1.0,policy_pinned__budget128__sink8
17,1.0,policy_pinned__budget128__sink8
18,1.0,policy_pinned__budget128__sink8
19,1.0,policy_pinned__budget128__sink8
20,1.0,policy_pinned__budget128__sink8
21,1.0,policy_pinned__budget128__sink8
22,1.0,policy_pinned__budget128__sink8
23,1.0,policy_pinned__budget128__sink8
24,1.0,policy_pinned__budget128__sink8
25,1.0,policy_pinned__budget128__sink8
26,1.0,policy_pinned__budget128__sink8
27,1.0,policy_pinned__budget128__sink8
28,1.0,policy_pinned__budget128__sink8
29,1.0,policy_pinned__budget128__sink8
30,1.0,policy_pinned__budget128__sink8
31,1.0,policy_pinned__budget128__sink8
32,1.0,policy_pinned__budget128__sink8
33,1.0,policy_pinned__budget128__sink8
34,1.0,policy_pinned__budget128__sink8
35,1.0,policy_pinned__budget128__sink8
36,1.0,policy_pinned__budget128__sink8
37,1.0,policy_pinned__budget128__sink8
38,1.0,policy_pinned__budget128__sink8
39,1.0,policy_pinned__budget128__sink8
40,1.0,policy_pinned__budget128__sink8
41,1.0,policy_pinned__budget128__sink8
42,1.0,policy_pinned__budget128__sink8
43,0.996137839904596,policy_pinned__budget128__sink8
44,0.9961623598137584,policy_pinned__budget128__sink8
45,0.9961404412257281,policy_pinned__budget128__sink8
46,0.9961263295205943,policy_pinned__budget128__sink8
47,0.9961678840166066,policy_pinned__budget128__sink8
48,0.9961474065902717,policy_pinned__budget128__sink8
49,0.9961085299793896,policy_pinned__budget128__sink8
50,0.9961554798466199,policy_pinned__budget128__sink8
51,0.9960982956786797,policy_pinned__budget128__sink8
52,0.9961331560248033,policy_pinned__budget128__sink8
53,0.9961123129525282,policy_pinned__budget128__sink8
54,0.9960865594561968,policy_pinned__budget128__sink8
55,0.9961012268131654,policy_pinned__budget128__sink8
56,0.9961451505853818,policy_pinned__budget128__sink8
57,0.996103268141352,policy_pinned__budget128__sink8
58,0.9961286755435386,policy_pinned__budget128__sink8
59,0.9960866191921477,policy_pinned__budget128__sink8
60,0.9961085427478295,policy_pinned__budget128__sink8
61,0.9961100379172996,policy_pinned__budget128__sink8
62,0.9961515630443591,policy_pinned__budget128__sink8
0,0.9633793073419117,random_matched__budget128__seed991
1,0.999542900933291,random_matched__budget128__seed991
2,1.0,random_matched__budget128__seed991
