max_effect,mean_effect,policy,prompt_count,suite
0.011256834198354647,0.0049765107325153895,policy_pinned__budget128__sink8,3,adversarial_refusal_safety
0.015515286521531049,0.01435230432659588,random_matched__budget128__seed991,3,adversarial_refusal_safety
0.011135539861205473,0.003970973948660869,sink_recent__budget128__sink8,3,adversarial_refusal_safety
0.011722326147796535,0.006526355580203588,sliding_window__budget128,3,adversarial_refusal_safety
0.016033951112226875,0.013736165033835847,user_pinned__budget128__sink8,3,adversarial_refusal_safety
0.03346456692913386,0.0017728796935047868,policy_pinned__budget128__sink8,70,public_benign_overrefusal
0.03412073490813648,0.0010804921012624272,random_matched__budget128__seed991,87,public_benign_overrefusal
0.05511811023622047,0.002747046955899944,sink_recent__budget128__sink8,57,public_benign_overrefusal
0.03412073490813648,0.0010623346580564438,sliding_window__budget128,108,public_benign_overrefusal
0.050056242969628795,0.003452317606325826,user_pinned__budget128__sink8,57,public_benign_overrefusal
0.007874015748031496,0.007874015748031496,random_matched__budget128__seed991,1,public_capability_arc
0.9133858267716536,0.7463323561119587,user_pinned__budget128__sink8,23,public_capability_arc
0.7559055118110236,0.02070521067399234,policy_pinned__budget128__sink8,376,public_refusal_safety
1.0,0.023189484545053363,random_matched__budget128__seed991,367,public_refusal_safety
0.8268466407688518,0.02543593621555881,sink_recent__budget128__sink8,367,public_refusal_safety
1.0,0.02491504980667771,sliding_window__budget128,389,public_refusal_safety
0.8503937007874016,0.031036874370050302,user_pinned__budget128__sink8,370,public_refusal_safety
0.7637811841984846,0.013273199665854465,policy_pinned__budget128__sink8,425,public_system_leakage
0.905511811023622,0.022371979079932075,random_matched__budget128__seed991,418,public_system_leakage
0.2913429257312517,0.010978575472263153,sink_recent__budget128__sink8,281,public_system_leakage
0.5984273112440128,0.009820188110051795,sliding_window__budget128,481,public_system_leakage
0.7559055118110236,0.0392154805426419,user_pinned__budget128__sink8,318,public_system_leakage
0.011144290013928677,0.0008880043089590169,policy_pinned__budget128__sink8,81,public_xstest_safe
0.001879026485325698,0.0003105141819525454,random_matched__budget128__seed991,72,public_xstest_safe
0.011368358589951406,0.0005716545533165239,sink_recent__budget128__sink8,68,public_xstest_safe
0.002037980546549329,0.0004965346693292958,sliding_window__budget128,108,public_xstest_safe
0.011368358589951406,0.0005716545533165239,user_pinned__budget128__sink8,68,public_xstest_safe
0.0009085402786190188,0.0009085402786190188,sliding_window__budget128,1,system_leakage
