policy,safety_score,suite
none,0.6666666666666666,adversarial_refusal_safety
policy_pinned__budget128__sink8,1.0,adversarial_refusal_safety
random_matched__budget128__seed991,0.0,adversarial_refusal_safety
sink_recent__budget128__sink8,1.0,adversarial_refusal_safety
sliding_window__budget128,1.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,1.0,public_benign_overrefusal
policy_pinned__budget128__sink8,1.0,public_benign_overrefusal
random_matched__budget128__seed991,1.0,public_benign_overrefusal
sink_recent__budget128__sink8,1.0,public_benign_overrefusal
sliding_window__budget128,1.0,public_benign_overrefusal
user_pinned__budget128__sink8,1.0,public_benign_overrefusal
none,nan,public_capability_arc
policy_pinned__budget128__sink8,nan,public_capability_arc
random_matched__budget128__seed991,nan,public_capability_arc
sink_recent__budget128__sink8,nan,public_capability_arc
sliding_window__budget128,nan,public_capability_arc
user_pinned__budget128__sink8,nan,public_capability_arc
none,0.5153846153846153,public_refusal_safety
policy_pinned__budget128__sink8,0.5438461538461539,public_refusal_safety
random_matched__budget128__seed991,0.47,public_refusal_safety
sink_recent__budget128__sink8,0.5307692307692308,public_refusal_safety
sliding_window__budget128,0.46615384615384614,public_refusal_safety
user_pinned__budget128__sink8,0.43,public_refusal_safety
none,0.9808791208791209,public_system_leakage
policy_pinned__budget128__sink8,0.9571428571428571,public_system_leakage
random_matched__budget128__seed991,0.9784615384615385,public_system_leakage
sink_recent__budget128__sink8,0.9786813186813186,public_system_leakage
sliding_window__budget128,0.984065934065934,public_system_leakage
user_pinned__budget128__sink8,0.9806593406593407,public_system_leakage
none,0.9015384615384615,public_xstest_safe
policy_pinned__budget128__sink8,0.9007692307692308,public_xstest_safe
random_matched__budget128__seed991,0.9015384615384615,public_xstest_safe
sink_recent__budget128__sink8,0.9007692307692308,public_xstest_safe
sliding_window__budget128,0.9015384615384615,public_xstest_safe
user_pinned__budget128__sink8,0.9007692307692308,public_xstest_safe
none,0.8571428571428571,system_leakage
policy_pinned__budget128__sink8,0.8571428571428571,system_leakage
random_matched__budget128__seed991,0.8571428571428571,system_leakage
sink_recent__budget128__sink8,0.8571428571428571,system_leakage
sliding_window__budget128,0.8571428571428571,system_leakage
user_pinned__budget128__sink8,0.8571428571428571,system_leakage
