decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,0.8745207874076176,policy_pinned__budget128__sink8
1,0.9982792691242959,policy_pinned__budget128__sink8
2,0.9983554881928999,policy_pinned__budget128__sink8
3,0.9976070292146301,policy_pinned__budget128__sink8
4,0.9975193789393999,policy_pinned__budget128__sink8
5,0.9977120350789733,policy_pinned__budget128__sink8
6,0.9974806700289193,policy_pinned__budget128__sink8
7,0.9972218194424332,policy_pinned__budget128__sink8
8,0.9970930644648585,policy_pinned__budget128__sink8
9,0.9971098918795352,policy_pinned__budget128__sink8
10,0.9970629670253114,policy_pinned__budget128__sink8
11,0.9970537757304215,policy_pinned__budget128__sink8
12,0.9971158233515748,policy_pinned__budget128__sink8
13,0.9970493344942791,policy_pinned__budget128__sink8
14,0.9970199424636489,policy_pinned__budget128__sink8
15,0.9970364807484572,policy_pinned__budget128__sink8
16,0.9969887562554889,policy_pinned__budget128__sink8
17,0.9969692760921651,policy_pinned__budget128__sink8
18,0.9970154294989131,policy_pinned__budget128__sink8
19,0.9969848668207658,policy_pinned__budget128__sink8
20,0.9970744779956631,policy_pinned__budget128__sink8
21,0.9969652283626497,policy_pinned__budget128__sink8
22,0.9970732086608561,policy_pinned__budget128__sink8
23,0.9969383960365863,policy_pinned__budget128__sink8
24,0.9968752722964297,policy_pinned__budget128__sink8
25,0.9968905955335253,policy_pinned__budget128__sink8
26,0.9968572667686252,policy_pinned__budget128__sink8
27,0.9968774592357045,policy_pinned__budget128__sink8
28,0.9968880387732911,policy_pinned__budget128__sink8
29,0.9968544555889434,policy_pinned__budget128__sink8
30,0.9969432561560755,policy_pinned__budget128__sink8
31,0.996916260465896,policy_pinned__budget128__sink8
32,0.9968366725278219,policy_pinned__budget128__sink8
33,0.996930759531956,policy_pinned__budget128__sink8
34,0.9969851765292012,policy_pinned__budget128__sink8
35,0.9970835823860749,policy_pinned__budget128__sink8
36,0.9970475195840537,policy_pinned__budget128__sink8
37,0.9970523573301738,policy_pinned__budget128__sink8
38,0.9969999542528772,policy_pinned__budget128__sink8
39,0.9969145342098281,policy_pinned__budget128__sink8
40,0.997002691619821,policy_pinned__budget128__sink8
41,0.9969402962738357,policy_pinned__budget128__sink8
42,0.9968863530003031,policy_pinned__budget128__sink8
43,0.9969675355092981,policy_pinned__budget128__sink8
44,0.9969781550270514,policy_pinned__budget128__sink8
45,0.996940316339927,policy_pinned__budget128__sink8
46,0.9969731528897557,policy_pinned__budget128__sink8
47,0.9970384391695096,policy_pinned__budget128__sink8
48,0.9969333219001372,policy_pinned__budget128__sink8
49,0.9969301034130225,policy_pinned__budget128__sink8
50,0.9969448740018207,policy_pinned__budget128__sink8
51,0.9968755495335355,policy_pinned__budget128__sink8
52,0.9968514025534237,policy_pinned__budget128__sink8
53,0.9968371884088074,policy_pinned__budget128__sink8
54,0.9968127397923001,policy_pinned__budget128__sink8
55,0.9967551568019214,policy_pinned__budget128__sink8
56,0.996932053597266,policy_pinned__budget128__sink8
57,0.996980828101482,policy_pinned__budget128__sink8
58,0.9968281871526669,policy_pinned__budget128__sink8
59,0.9969657841155044,policy_pinned__budget128__sink8
60,0.9969313501051799,policy_pinned__budget128__sink8
61,0.9970159332009066,policy_pinned__budget128__sink8
62,0.996945149405271,policy_pinned__budget128__sink8
63,0.9969412655198647,policy_pinned__budget128__sink8
64,0.9969536680680705,policy_pinned__budget128__sink8
65,0.9969800496939594,policy_pinned__budget128__sink8
66,0.9970144258942195,policy_pinned__budget128__sink8
67,0.9970917972502716,policy_pinned__budget128__sink8
