evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L02,explicit_layer,explicit layer column,none,14.0,1.0,system,25
0.0,0,L00-L02,explicit_layer,explicit layer column,none,34.0,1.0,system,26
0.0,0,L00-L02,explicit_layer,explicit layer column,none,31.0,1.0,system,27
0.0,0,L00-L02,explicit_layer,explicit layer column,none,29.0,1.0,system,28
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,system,29
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,system,30
0.0,0,L00-L02,explicit_layer,explicit layer column,none,27.0,1.0,system,31
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,system,32
0.0,0,L00-L02,explicit_layer,explicit layer column,none,29.0,1.0,system,33
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,system,34
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,system,35
0.0,0,L00-L02,explicit_layer,explicit layer column,none,28.0,1.0,system,36
0.0,0,L00-L02,explicit_layer,explicit layer column,none,32.0,1.0,system,37
0.0,0,L00-L02,explicit_layer,explicit layer column,none,34.0,1.0,system,38
0.0,0,L00-L02,explicit_layer,explicit layer column,none,28.0,1.0,system,39
0.0,0,L00-L02,explicit_layer,explicit layer column,none,20.0,1.0,system,40
0.0,0,L00-L02,explicit_layer,explicit layer column,none,9.0,1.0,system,41
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4.0,1.0,system,42
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6.0,1.0,system,43
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6.0,1.0,system,44
0.0,0,L00-L02,explicit_layer,explicit layer column,none,4.0,1.0,system,45
0.0,0,L00-L02,explicit_layer,explicit layer column,none,6.0,1.0,system,46
0.0,0,L00-L02,explicit_layer,explicit layer column,none,2.0,1.0,system,47
0.0,0,L00-L02,explicit_layer,explicit layer column,none,36.0,1.0,template,0
0.0,0,L00-L02,explicit_layer,explicit layer column,none,36.0,1.0,template,1
0.0,0,L00-L02,explicit_layer,explicit layer column,none,24.0,1.0,template,2
0.0,0,L00-L02,explicit_layer,explicit layer column,none,36.0,1.0,template,3
0.0,0,L00-L02,explicit_layer,explicit layer column,none,32.0,1.0,template,4
0.0,0,L00-L02,explicit_layer,explicit layer column,none,28.0,1.0,template,5
0.0,0,L00-L02,explicit_layer,explicit layer column,none,32.0,1.0,template,6
0.0,0,L00-L02,explicit_layer,explicit layer column,none,34.0,1.0,template,7
0.0,0,L00-L02,explicit_layer,explicit layer column,none,28.0,1.0,template,8
0.0,0,L00-L02,explicit_layer,explicit layer column,none,34.0,1.0,template,9
0.0,0,L00-L02,explicit_layer,explicit layer column,none,32.0,1.0,template,10
0.0,0,L00-L02,explicit_layer,explicit layer column,none,28.0,1.0,template,11
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,template,12
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,template,13
0.0,0,L00-L02,explicit_layer,explicit layer column,none,29.0,1.0,template,14
0.0,0,L00-L02,explicit_layer,explicit layer column,none,31.0,1.0,template,15
0.0,0,L00-L02,explicit_layer,explicit layer column,none,29.0,1.0,template,16
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,template,17
0.0,0,L00-L02,explicit_layer,explicit layer column,none,33.0,1.0,template,18
0.0,0,L00-L02,explicit_layer,explicit layer column,none,29.0,1.0,template,19
0.0,0,L00-L02,explicit_layer,explicit layer column,none,31.0,1.0,template,20
0.0,0,L00-L02,explicit_layer,explicit layer column,none,35.0,1.0,template,21
0.0,0,L00-L02,explicit_layer,explicit layer column,none,25.0,1.0,template,22
0.0,0,L00-L02,explicit_layer,explicit layer column,none,35.0,1.0,template,23
0.0,0,L00-L02,explicit_layer,explicit layer column,none,36.0,1.0,template,24
0.0,0,L00-L02,explicit_layer,explicit layer column,none,11.0,1.0,template,25
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1.0,1.0,template,26
0.0,0,L00-L02,explicit_layer,explicit layer column,none,14.0,1.0,template,40
0.0,0,L00-L02,explicit_layer,explicit layer column,none,15.0,1.0,template,41
0.0,0,L00-L02,explicit_layer,explicit layer column,none,10.0,1.0,template,42
0.0,0,L00-L02,explicit_layer,explicit layer column,none,1.0,1.0,template,43
0.0,0,L00-L02,explicit_layer,explicit layer column,none,14.0,1.0,template,47
0.0,0,L00-L02,explicit_layer,explicit layer column,none,8.0,1.0,user,41
