capability_score,policy,suite
nan,none,adversarial_refusal_safety
nan,policy_pinned__budget128__sink8,adversarial_refusal_safety
nan,random_matched__budget128__seed991,adversarial_refusal_safety
nan,sink_recent__budget128__sink8,adversarial_refusal_safety
nan,sliding_window__budget128,adversarial_refusal_safety
nan,user_pinned__budget128__sink8,adversarial_refusal_safety
nan,none,benign_overrefusal
nan,policy_pinned__budget128__sink8,benign_overrefusal
nan,random_matched__budget128__seed991,benign_overrefusal
nan,sink_recent__budget128__sink8,benign_overrefusal
nan,sliding_window__budget128,benign_overrefusal
nan,user_pinned__budget128__sink8,benign_overrefusal
0.5,none,capability_smoke
0.0,policy_pinned__budget128__sink8,capability_smoke
0.0,random_matched__budget128__seed991,capability_smoke
0.0,sink_recent__budget128__sink8,capability_smoke
0.0,sliding_window__budget128,capability_smoke
0.0,user_pinned__budget128__sink8,capability_smoke
0.0,none,instruction_following
0.0,policy_pinned__budget128__sink8,instruction_following
0.0,random_matched__budget128__seed991,instruction_following
0.0,sink_recent__budget128__sink8,instruction_following
0.0,sliding_window__budget128,instruction_following
0.0,user_pinned__budget128__sink8,instruction_following
nan,none,refusal_safety
nan,policy_pinned__budget128__sink8,refusal_safety
nan,random_matched__budget128__seed991,refusal_safety
nan,sink_recent__budget128__sink8,refusal_safety
nan,sliding_window__budget128,refusal_safety
nan,user_pinned__budget128__sink8,refusal_safety
nan,none,system_leakage
nan,policy_pinned__budget128__sink8,system_leakage
nan,random_matched__budget128__seed991,system_leakage
nan,sink_recent__budget128__sink8,system_leakage
nan,sliding_window__budget128,system_leakage
nan,user_pinned__budget128__sink8,system_leakage
