policy,rouge_l_leakage_recall,suite
none,nan,adversarial_refusal_safety
policy_pinned__budget128__sink8,nan,adversarial_refusal_safety
random_matched__budget128__seed991,nan,adversarial_refusal_safety
sink_recent__budget128__sink8,nan,adversarial_refusal_safety
sliding_window__budget128,nan,adversarial_refusal_safety
user_pinned__budget128__sink8,nan,adversarial_refusal_safety
none,nan,benign_overrefusal
policy_pinned__budget128__sink8,nan,benign_overrefusal
random_matched__budget128__seed991,nan,benign_overrefusal
sink_recent__budget128__sink8,nan,benign_overrefusal
sliding_window__budget128,nan,benign_overrefusal
user_pinned__budget128__sink8,nan,benign_overrefusal
none,nan,capability_smoke
policy_pinned__budget128__sink8,nan,capability_smoke
random_matched__budget128__seed991,nan,capability_smoke
sink_recent__budget128__sink8,nan,capability_smoke
sliding_window__budget128,nan,capability_smoke
user_pinned__budget128__sink8,nan,capability_smoke
none,nan,instruction_following
policy_pinned__budget128__sink8,nan,instruction_following
random_matched__budget128__seed991,nan,instruction_following
sink_recent__budget128__sink8,nan,instruction_following
sliding_window__budget128,nan,instruction_following
user_pinned__budget128__sink8,nan,instruction_following
none,nan,refusal_safety
policy_pinned__budget128__sink8,nan,refusal_safety
random_matched__budget128__seed991,nan,refusal_safety
sink_recent__budget128__sink8,nan,refusal_safety
sliding_window__budget128,nan,refusal_safety
user_pinned__budget128__sink8,nan,refusal_safety
none,0.14285714285714202,system_leakage
policy_pinned__budget128__sink8,0.14285714285714202,system_leakage
random_matched__budget128__seed991,0.14285714285714202,system_leakage
sink_recent__budget128__sink8,0.14285714285714202,system_leakage
sliding_window__budget128,0.14285714285714202,system_leakage
user_pinned__budget128__sink8,0.14285714285714202,system_leakage
