evicted_count,policy,retained_count,retention_fraction,role
0.0,none,1582.0,1.0,generated
0.0,none,48692.0,1.0,system
0.0,none,82594.0,1.0,template
0.0,none,12866.0,1.0,user
0.0,policy_pinned__budget128__sink8,1196.0,1.0,generated
0.0,policy_pinned__budget128__sink8,43300.0,1.0,system
0.0,policy_pinned__budget128__sink8,73242.0,1.0,template
0.0,policy_pinned__budget128__sink8,11740.0,1.0,user
0.0,random_matched__budget128__seed991,1196.0,1.0,generated
0.0,random_matched__budget128__seed991,43300.0,1.0,system
0.0,random_matched__budget128__seed991,73242.0,1.0,template
0.0,random_matched__budget128__seed991,11740.0,1.0,user
0.0,sink_recent__budget128__sink8,1196.0,1.0,generated
0.0,sink_recent__budget128__sink8,43300.0,1.0,system
0.0,sink_recent__budget128__sink8,73242.0,1.0,template
0.0,sink_recent__budget128__sink8,11740.0,1.0,user
0.0,sliding_window__budget128,1196.0,1.0,generated
0.0,sliding_window__budget128,43300.0,1.0,system
0.0,sliding_window__budget128,73242.0,1.0,template
0.0,sliding_window__budget128,11740.0,1.0,user
0.0,user_pinned__budget128__sink8,1196.0,1.0,generated
0.0,user_pinned__budget128__sink8,43300.0,1.0,system
0.0,user_pinned__budget128__sink8,73242.0,1.0,template
0.0,user_pinned__budget128__sink8,11740.0,1.0,user
