decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,0.8817871827928244,policy_pinned__budget128__sink8
1,0.9991326011154206,policy_pinned__budget128__sink8
2,0.9991382031372064,policy_pinned__budget128__sink8
3,0.9991230348070754,policy_pinned__budget128__sink8
4,0.9990236285204497,policy_pinned__budget128__sink8
5,0.9988906013040072,policy_pinned__budget128__sink8
6,0.9987960938613605,policy_pinned__budget128__sink8
7,0.998824501357174,policy_pinned__budget128__sink8
8,0.9987914178996721,policy_pinned__budget128__sink8
9,0.99883743966749,policy_pinned__budget128__sink8
10,0.9987456853234133,policy_pinned__budget128__sink8
11,0.9987840230221308,policy_pinned__budget128__sink8
12,0.9987631146086599,policy_pinned__budget128__sink8
13,0.9987391000793985,policy_pinned__budget128__sink8
14,0.9987938137647601,policy_pinned__budget128__sink8
15,0.9987664278961709,policy_pinned__budget128__sink8
16,0.9987288939303833,policy_pinned__budget128__sink8
17,0.9987128302841417,policy_pinned__budget128__sink8
18,0.9985995062838303,policy_pinned__budget128__sink8
19,0.9985809007583126,policy_pinned__budget128__sink8
20,0.9986439060620018,policy_pinned__budget128__sink8
21,0.9985079145882123,policy_pinned__budget128__sink8
22,0.9985271693938346,policy_pinned__budget128__sink8
23,0.9985254108669134,policy_pinned__budget128__sink8
24,0.9985466249993645,policy_pinned__budget128__sink8
25,0.9985557344156104,policy_pinned__budget128__sink8
26,0.9985213063352696,policy_pinned__budget128__sink8
27,0.9985312216746729,policy_pinned__budget128__sink8
28,0.9984837912445619,policy_pinned__budget128__sink8
29,0.9985167102359442,policy_pinned__budget128__sink8
30,0.9984633198416702,policy_pinned__budget128__sink8
31,0.998514550884532,policy_pinned__budget128__sink8
32,0.9985088206682882,policy_pinned__budget128__sink8
33,0.9982679441807303,policy_pinned__budget128__sink8
34,0.9982523842287573,policy_pinned__budget128__sink8
35,0.997720016430958,policy_pinned__budget128__sink8
36,0.9977742882018816,policy_pinned__budget128__sink8
37,0.9976507990086576,policy_pinned__budget128__sink8
38,0.9977095816763859,policy_pinned__budget128__sink8
39,0.9978027956004818,policy_pinned__budget128__sink8
40,0.9976995785451558,policy_pinned__budget128__sink8
41,0.9976211891909477,policy_pinned__budget128__sink8
42,0.997588871359138,policy_pinned__budget128__sink8
43,0.9979057064509081,policy_pinned__budget128__sink8
44,0.9977698215601069,policy_pinned__budget128__sink8
45,0.9976127529981821,policy_pinned__budget128__sink8
46,0.9975712931253976,policy_pinned__budget128__sink8
47,0.9975402970849648,policy_pinned__budget128__sink8
48,0.9977569914483942,policy_pinned__budget128__sink8
49,0.9975776488825261,policy_pinned__budget128__sink8
50,0.9977186052717961,policy_pinned__budget128__sink8
51,0.9979131670905811,policy_pinned__budget128__sink8
52,0.9980428696260882,policy_pinned__budget128__sink8
53,0.997953265889468,policy_pinned__budget128__sink8
54,0.9980091204242604,policy_pinned__budget128__sink8
55,0.9981176746649499,policy_pinned__budget128__sink8
56,0.9982842485833304,policy_pinned__budget128__sink8
57,0.9982574944220266,policy_pinned__budget128__sink8
58,0.9980979484522161,policy_pinned__budget128__sink8
59,0.9980637525789119,policy_pinned__budget128__sink8
60,0.9982110675738809,policy_pinned__budget128__sink8
61,0.9981616909403808,policy_pinned__budget128__sink8
62,0.9981280650248284,policy_pinned__budget128__sink8
63,0.9979898202496927,policy_pinned__budget128__sink8
64,0.9980243104982361,policy_pinned__budget128__sink8
65,0.9978716486082925,policy_pinned__budget128__sink8
66,0.9978101552327744,policy_pinned__budget128__sink8
67,0.99771642710457,policy_pinned__budget128__sink8
