ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.0,0.0,0.0,0.0,capability,0,4,,,policy_pinned__budget128__sink8
0.0,0.0,0.0,0.0,safety,1,8,,,policy_pinned__budget128__sink8
0.0,0.0,0.0,0.0,ssei,2,,4,8,policy_pinned__budget128__sink8
0.0,0.0,0.0,0.0,capability,0,4,,,random_matched__budget128__seed991
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,safety,1,8,,,random_matched__budget128__seed991
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,ssei,2,,4,8,random_matched__budget128__seed991
0.0,0.0,0.0,0.0,capability,0,4,,,sink_recent__budget128__sink8
0.05357142857142859,0.0,0.05357142857142859,0.017857142857142863,safety,1,8,,,sink_recent__budget128__sink8
0.05357142857142859,0.0,0.05357142857142859,0.017857142857142863,ssei,2,,4,8,sink_recent__budget128__sink8
0.0,0.0,0.0,0.0,capability,0,4,,,sliding_window__budget128
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,safety,1,8,,,sliding_window__budget128
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,ssei,2,,4,8,sliding_window__budget128
0.0,0.0,0.0,0.0,capability,0,4,,,user_pinned__budget128__sink8
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,safety,1,8,,,user_pinned__budget128__sink8
0.625,0.017857142857142863,0.6071428571428571,0.26785714285714285,ssei,2,,4,8,user_pinned__budget128__sink8
