evicted_count,policy,retained_count,retention_fraction,role
0.0,none,28147.0,1.0,generated
0.0,none,690.0,1.0,special
0.0,none,32351.0,1.0,system
0.0,none,3438.0,1.0,template
0.0,none,217068.0,1.0,user
0.0,policy_pinned__budget128__sink8,18025.0,1.0,generated
0.0,policy_pinned__budget128__sink8,690.0,1.0,special
0.0,policy_pinned__budget128__sink8,32351.0,1.0,system
315.0,policy_pinned__budget128__sink8,2955.0,0.9036697247706422,template
2295.0,policy_pinned__budget128__sink8,21760.0,0.9045936395759717,user
80.0,random_matched__budget128__seed991,18143.0,0.9956099434780222,generated
2.0,random_matched__budget128__seed991,717.0,0.9972183588317107,special
200.0,random_matched__budget128__seed991,33340.0,0.9940369707811568,system
22.0,random_matched__budget128__seed991,3367.0,0.9935084095603423,template
2335.0,random_matched__budget128__seed991,23926.0,0.9110848787174898,user
0.0,sink_recent__budget128__sink8,18025.0,1.0,generated
0.0,sink_recent__budget128__sink8,702.0,1.0,special
395.0,sink_recent__budget128__sink8,32448.0,0.98797308406662,system
4.0,sink_recent__budget128__sink8,3314.0,0.9987944544906571,template
2223.0,sink_recent__budget128__sink8,22828.0,0.911261027503892,user
0.0,sliding_window__budget128,18223.0,1.0,generated
342.0,sliding_window__budget128,377.0,0.5243393602225312,special
82.0,sliding_window__budget128,33458.0,0.9975551580202743,system
8.0,sliding_window__budget128,3381.0,0.9976394216583063,template
2207.0,sliding_window__budget128,24054.0,0.915959026693576,user
0.0,user_pinned__budget128__sink8,18025.0,1.0,generated
2.0,user_pinned__budget128__sink8,714.0,0.9972067039106145,special
419.0,user_pinned__budget128__sink8,32998.0,0.987461471706018,system
8.0,user_pinned__budget128__sink8,3366.0,0.997628927089508,template
2207.0,user_pinned__budget128__sink8,24006.0,0.9158051348567504,user
