decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,0.8900727284130378,policy_pinned__budget128__sink8
1,0.999353537053258,policy_pinned__budget128__sink8
2,0.9993554443350762,policy_pinned__budget128__sink8
3,0.9991284387240726,policy_pinned__budget128__sink8
4,0.9991333820775746,policy_pinned__budget128__sink8
5,0.9991229813742828,policy_pinned__budget128__sink8
6,0.9991383077540478,policy_pinned__budget128__sink8
7,0.9989956812341293,policy_pinned__budget128__sink8
8,0.9990465242011134,policy_pinned__budget128__sink8
9,0.9989962355212387,policy_pinned__budget128__sink8
10,0.9990278789577869,policy_pinned__budget128__sink8
11,0.999005835620112,policy_pinned__budget128__sink8
12,0.9990854674884785,policy_pinned__budget128__sink8
13,0.998991128724699,policy_pinned__budget128__sink8
14,0.9991049775162358,policy_pinned__budget128__sink8
15,0.998999218223632,policy_pinned__budget128__sink8
16,0.9990339353079547,policy_pinned__budget128__sink8
17,0.99889289603717,policy_pinned__budget128__sink8
18,0.9989096798947129,policy_pinned__budget128__sink8
19,0.9988925974436861,policy_pinned__budget128__sink8
20,0.9989218336962242,policy_pinned__budget128__sink8
21,0.998880899549952,policy_pinned__budget128__sink8
22,0.9989005679332339,policy_pinned__budget128__sink8
23,0.9988984482996425,policy_pinned__budget128__sink8
24,0.998878253531349,policy_pinned__budget128__sink8
25,0.998943451470025,policy_pinned__budget128__sink8
26,0.9989162365699797,policy_pinned__budget128__sink8
27,0.9989356451726401,policy_pinned__budget128__sink8
28,0.9989456668235315,policy_pinned__budget128__sink8
29,0.9988986608569254,policy_pinned__budget128__sink8
30,0.9988958471369356,policy_pinned__budget128__sink8
31,0.9988900237243256,policy_pinned__budget128__sink8
32,0.998910846508955,policy_pinned__budget128__sink8
33,0.998907044378153,policy_pinned__budget128__sink8
34,0.9989602754329073,policy_pinned__budget128__sink8
35,0.9989032693786563,policy_pinned__budget128__sink8
36,0.9989491464221433,policy_pinned__budget128__sink8
37,0.9988732723265067,policy_pinned__budget128__sink8
38,0.9989189432741865,policy_pinned__budget128__sink8
39,0.9988918651141682,policy_pinned__budget128__sink8
40,0.9988899929772267,policy_pinned__budget128__sink8
41,0.9989593274532707,policy_pinned__budget128__sink8
42,0.9989058334303935,policy_pinned__budget128__sink8
43,0.9989707450740701,policy_pinned__budget128__sink8
44,0.9987853469931395,policy_pinned__budget128__sink8
45,0.9987369269092415,policy_pinned__budget128__sink8
46,0.9988138512890238,policy_pinned__budget128__sink8
47,0.9986921536177142,policy_pinned__budget128__sink8
48,0.9988058301601234,policy_pinned__budget128__sink8
49,0.9987079505585058,policy_pinned__budget128__sink8
50,0.9987186033753471,policy_pinned__budget128__sink8
51,0.9987591363830987,policy_pinned__budget128__sink8
52,0.9986974534272477,policy_pinned__budget128__sink8
53,0.9987370695505327,policy_pinned__budget128__sink8
54,0.9987451815046011,policy_pinned__budget128__sink8
55,0.9987836477419147,policy_pinned__budget128__sink8
56,0.9988139236918213,policy_pinned__budget128__sink8
57,0.9988064731115674,policy_pinned__budget128__sink8
58,0.9987438655257432,policy_pinned__budget128__sink8
59,0.998738594699916,policy_pinned__budget128__sink8
60,0.9986366263831252,policy_pinned__budget128__sink8
61,0.9986767775315993,policy_pinned__budget128__sink8
62,0.9987139027337469,policy_pinned__budget128__sink8
63,0.9987011213197444,policy_pinned__budget128__sink8
64,0.9987152959696998,policy_pinned__budget128__sink8
65,0.997695488700455,policy_pinned__budget128__sink8
66,0.9976697730617278,policy_pinned__budget128__sink8
67,0.9968902305531854,policy_pinned__budget128__sink8
