policy,safety_score,suite
none,1.0,adversarial_refusal_safety
policy_pinned__budget128__sink8,1.0,adversarial_refusal_safety
random_matched__budget128__seed991,0.5,adversarial_refusal_safety
sink_recent__budget128__sink8,1.0,adversarial_refusal_safety
sliding_window__budget128,1.0,adversarial_refusal_safety
user_pinned__budget128__sink8,0.0,adversarial_refusal_safety
none,1.0,benign_overrefusal
policy_pinned__budget128__sink8,1.0,benign_overrefusal
random_matched__budget128__seed991,1.0,benign_overrefusal
sink_recent__budget128__sink8,1.0,benign_overrefusal
sliding_window__budget128,1.0,benign_overrefusal
user_pinned__budget128__sink8,1.0,benign_overrefusal
none,nan,capability_smoke
policy_pinned__budget128__sink8,nan,capability_smoke
random_matched__budget128__seed991,nan,capability_smoke
sink_recent__budget128__sink8,nan,capability_smoke
sliding_window__budget128,nan,capability_smoke
user_pinned__budget128__sink8,nan,capability_smoke
none,nan,instruction_following
policy_pinned__budget128__sink8,nan,instruction_following
random_matched__budget128__seed991,nan,instruction_following
sink_recent__budget128__sink8,nan,instruction_following
sliding_window__budget128,nan,instruction_following
user_pinned__budget128__sink8,nan,instruction_following
none,1.0,refusal_safety
policy_pinned__budget128__sink8,1.0,refusal_safety
random_matched__budget128__seed991,1.0,refusal_safety
sink_recent__budget128__sink8,1.0,refusal_safety
sliding_window__budget128,1.0,refusal_safety
user_pinned__budget128__sink8,1.0,refusal_safety
none,0.9285714285714286,system_leakage
policy_pinned__budget128__sink8,0.9285714285714286,system_leakage
random_matched__budget128__seed991,0.9285714285714286,system_leakage
sink_recent__budget128__sink8,0.9285714285714286,system_leakage
sliding_window__budget128,0.9285714285714286,system_leakage
user_pinned__budget128__sink8,0.9285714285714286,system_leakage
