decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,0.8867814881525606,policy_pinned__budget128__sink8
1,0.9992579255393242,policy_pinned__budget128__sink8
2,0.9992800496820758,policy_pinned__budget128__sink8
3,0.9989507617559698,policy_pinned__budget128__sink8
4,0.9990803816994183,policy_pinned__budget128__sink8
5,0.9989443682061344,policy_pinned__budget128__sink8
6,0.9990962015136733,policy_pinned__budget128__sink8
7,0.9988987795094146,policy_pinned__budget128__sink8
8,0.9988251412411376,policy_pinned__budget128__sink8
9,0.9988714251450468,policy_pinned__budget128__sink8
10,0.9987823672120958,policy_pinned__budget128__sink8
11,0.9987522661491313,policy_pinned__budget128__sink8
12,0.9988094906188085,policy_pinned__budget128__sink8
13,0.9988845238798919,policy_pinned__budget128__sink8
14,0.9987867291130874,policy_pinned__budget128__sink8
15,0.9989067393248257,policy_pinned__budget128__sink8
16,0.9988581669617467,policy_pinned__budget128__sink8
17,0.9987816469198604,policy_pinned__budget128__sink8
18,0.9988612600597335,policy_pinned__budget128__sink8
19,0.998880718796592,policy_pinned__budget128__sink8
20,0.9988041852087457,policy_pinned__budget128__sink8
21,0.9988613703534991,policy_pinned__budget128__sink8
22,0.9987895580655899,policy_pinned__budget128__sink8
23,0.99880614587395,policy_pinned__budget128__sink8
24,0.9987841579107926,policy_pinned__budget128__sink8
25,0.9988415731114102,policy_pinned__budget128__sink8
26,0.9988499159950002,policy_pinned__budget128__sink8
27,0.998873418266481,policy_pinned__budget128__sink8
28,0.9988169321288404,policy_pinned__budget128__sink8
29,0.9988363580115431,policy_pinned__budget128__sink8
30,0.9987509246327071,policy_pinned__budget128__sink8
31,0.9987268454095429,policy_pinned__budget128__sink8
32,0.9987921006011646,policy_pinned__budget128__sink8
33,0.9987905602177641,policy_pinned__budget128__sink8
34,0.9988066144245095,policy_pinned__budget128__sink8
35,0.9988993087232154,policy_pinned__budget128__sink8
36,0.9987563568654216,policy_pinned__budget128__sink8
37,0.9988461813096324,policy_pinned__budget128__sink8
38,0.9987202870839774,policy_pinned__budget128__sink8
39,0.9988144899308304,policy_pinned__budget128__sink8
40,0.9987299359035163,policy_pinned__budget128__sink8
41,0.9987764062933112,policy_pinned__budget128__sink8
42,0.9988382951779587,policy_pinned__budget128__sink8
43,0.998751756266064,policy_pinned__budget128__sink8
44,0.9988519074763863,policy_pinned__budget128__sink8
45,0.9983346699912333,policy_pinned__budget128__sink8
46,0.9988058612927568,policy_pinned__budget128__sink8
47,0.9983349166322697,policy_pinned__budget128__sink8
48,0.9982811389882035,policy_pinned__budget128__sink8
49,0.9982512330298635,policy_pinned__budget128__sink8
50,0.998297223247871,policy_pinned__budget128__sink8
51,0.9981242956270625,policy_pinned__budget128__sink8
52,0.9982635320453792,policy_pinned__budget128__sink8
53,0.9981916581105291,policy_pinned__budget128__sink8
54,0.9986063135682297,policy_pinned__budget128__sink8
55,0.9985810252672641,policy_pinned__budget128__sink8
56,0.9986290278516687,policy_pinned__budget128__sink8
57,0.9987958068069828,policy_pinned__budget128__sink8
58,0.9986925107512924,policy_pinned__budget128__sink8
59,0.9992564189030129,policy_pinned__budget128__sink8
60,0.9992170084127453,policy_pinned__budget128__sink8
61,0.9991797650272233,policy_pinned__budget128__sink8
62,0.9991173591157183,policy_pinned__budget128__sink8
63,0.9992009703667304,policy_pinned__budget128__sink8
64,0.9992677037901101,policy_pinned__budget128__sink8
65,0.9992300622020078,policy_pinned__budget128__sink8
66,0.9992276327342324,policy_pinned__budget128__sink8
67,0.9976777114335263,policy_pinned__budget128__sink8
