evicted_count,layer_bin,layer_label,layer_source,layer_source_label,policy,retained_count,retention_fraction,role,token_bin
0.0,0,L00-L04,explicit_layer,explicit layer column,none,42.0,1.0,system,0
0.0,0,L00-L04,explicit_layer,explicit layer column,none,40.0,1.0,system,1
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13.0,1.0,system,2
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13.0,1.0,system,3
0.0,0,L00-L04,explicit_layer,explicit layer column,none,18.0,1.0,system,4
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13.0,1.0,system,5
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,6
0.0,0,L00-L04,explicit_layer,explicit layer column,none,13.0,1.0,system,7
0.0,0,L00-L04,explicit_layer,explicit layer column,none,16.0,1.0,system,8
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,9
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15.0,1.0,system,10
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12.0,1.0,system,11
0.0,0,L00-L04,explicit_layer,explicit layer column,none,16.0,1.0,system,12
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15.0,1.0,system,13
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,14
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12.0,1.0,system,15
0.0,0,L00-L04,explicit_layer,explicit layer column,none,16.0,1.0,system,16
0.0,0,L00-L04,explicit_layer,explicit layer column,none,15.0,1.0,system,17
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,18
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12.0,1.0,system,19
0.0,0,L00-L04,explicit_layer,explicit layer column,none,18.0,1.0,system,20
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,21
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12.0,1.0,system,22
0.0,0,L00-L04,explicit_layer,explicit layer column,none,12.0,1.0,system,23
0.0,0,L00-L04,explicit_layer,explicit layer column,none,19.0,1.0,system,24
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10.0,1.0,system,25
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10.0,1.0,system,26
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10.0,1.0,system,27
0.0,0,L00-L04,explicit_layer,explicit layer column,none,14.0,1.0,system,28
0.0,0,L00-L04,explicit_layer,explicit layer column,none,10.0,1.0,system,29
0.0,0,L00-L04,explicit_layer,explicit layer column,none,11.0,1.0,system,30
0.0,0,L00-L04,explicit_layer,explicit layer column,none,9.0,1.0,system,31
