evicted_count,policy,retained_count,retention_fraction,role
0.0,none,22518.0,1.0,generated
0.0,none,26011.0,1.0,system
0.0,none,6687.0,1.0,template
0.0,none,146289.0,1.0,user
0.0,policy_pinned__budget128__sink8,16923.0,1.0,generated
0.0,policy_pinned__budget128__sink8,25738.0,1.0,system
228.0,policy_pinned__budget128__sink8,5894.0,0.9627572688663836,template
1974.0,policy_pinned__budget128__sink8,16372.0,0.8924016134307206,user
59.0,random_matched__budget128__seed991,16864.0,0.9965136205164569,generated
131.0,random_matched__budget128__seed991,24671.0,0.9947181678896864,system
36.0,random_matched__budget128__seed991,5918.0,0.9939536446086664,template
1952.0,random_matched__budget128__seed991,14402.0,0.8806408218172924,user
0.0,sink_recent__budget128__sink8,16923.0,1.0,generated
307.0,sink_recent__budget128__sink8,26172.0,0.9884059065674685,system
8.0,sink_recent__budget128__sink8,6247.0,0.9987210231814548,template
1906.0,sink_recent__budget128__sink8,18017.0,0.9043316769562817,user
0.0,sliding_window__budget128,17319.0,1.0,generated
78.0,sliding_window__budget128,27298.0,0.9971507890122735,system
276.0,sliding_window__budget128,6164.0,0.9571428571428572,template
1890.0,sliding_window__budget128,19522.0,0.9117317392116571,user
0.0,user_pinned__budget128__sink8,16923.0,1.0,generated
370.0,user_pinned__budget128__sink8,28176.0,0.9870384642331675,system
20.0,user_pinned__budget128__sink8,6606.0,0.9969815876848778,template
1884.0,user_pinned__budget128__sink8,22438.0,0.9225392648630869,user
