decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,1.0,sink_recent__budget128__sink8
1,1.0,sink_recent__budget128__sink8
2,1.0,sink_recent__budget128__sink8
3,1.0,sink_recent__budget128__sink8
4,1.0,sink_recent__budget128__sink8
5,1.0,sink_recent__budget128__sink8
6,1.0,sink_recent__budget128__sink8
7,1.0,sink_recent__budget128__sink8
8,1.0,sink_recent__budget128__sink8
9,1.0,sink_recent__budget128__sink8
10,1.0,sink_recent__budget128__sink8
11,1.0,sink_recent__budget128__sink8
12,1.0,sink_recent__budget128__sink8
13,1.0,sink_recent__budget128__sink8
14,1.0,sink_recent__budget128__sink8
15,1.0,sink_recent__budget128__sink8
16,1.0,sink_recent__budget128__sink8
17,1.0,sink_recent__budget128__sink8
18,1.0,sink_recent__budget128__sink8
19,1.0,sink_recent__budget128__sink8
20,1.0,sink_recent__budget128__sink8
21,1.0,sink_recent__budget128__sink8
22,1.0,sink_recent__budget128__sink8
23,1.0,sink_recent__budget128__sink8
24,1.0,sink_recent__budget128__sink8
25,1.0,sink_recent__budget128__sink8
26,1.0,sink_recent__budget128__sink8
27,1.0,sink_recent__budget128__sink8
28,1.0,sink_recent__budget128__sink8
29,1.0,sink_recent__budget128__sink8
30,1.0,sink_recent__budget128__sink8
31,1.0,sink_recent__budget128__sink8
32,1.0,sink_recent__budget128__sink8
33,1.0,sink_recent__budget128__sink8
34,1.0,sink_recent__budget128__sink8
35,1.0,sink_recent__budget128__sink8
36,1.0,sink_recent__budget128__sink8
37,1.0,sink_recent__budget128__sink8
38,1.0,sink_recent__budget128__sink8
39,1.0,sink_recent__budget128__sink8
40,1.0,sink_recent__budget128__sink8
41,1.0,sink_recent__budget128__sink8
42,1.0,sink_recent__budget128__sink8
43,1.0,sink_recent__budget128__sink8
44,1.0,sink_recent__budget128__sink8
45,1.0,sink_recent__budget128__sink8
46,0.9992222751712456,sink_recent__budget128__sink8
47,0.9992333676344405,sink_recent__budget128__sink8
48,0.9984439716597919,sink_recent__budget128__sink8
49,0.9984675884378547,sink_recent__budget128__sink8
50,0.9984443560367989,sink_recent__budget128__sink8
51,0.9984571142768619,sink_recent__budget128__sink8
52,0.9984583505298879,sink_recent__budget128__sink8
53,0.9984419756582037,sink_recent__budget128__sink8
54,0.9984638242149033,sink_recent__budget128__sink8
55,0.9984458286586353,sink_recent__budget128__sink8
56,0.9984512592040773,sink_recent__budget128__sink8
57,0.9984487812085335,sink_recent__budget128__sink8
58,0.9984470059048347,sink_recent__budget128__sink8
59,0.9984559671711223,sink_recent__budget128__sink8
60,0.9984452605934118,sink_recent__budget128__sink8
61,0.9984675954023668,sink_recent__budget128__sink8
62,0.9984528411137423,sink_recent__budget128__sink8
63,0.9984553598085094,sink_recent__budget128__sink8
64,0.9984532209044795,sink_recent__budget128__sink8
65,0.9984447066989144,sink_recent__budget128__sink8
66,0.9984568795888077,sink_recent__budget128__sink8
67,0.9984495540984882,sink_recent__budget128__sink8
68,0.9984589836769449,sink_recent__budget128__sink8
69,0.9976751469994865,sink_recent__budget128__sink8
70,0.9976912350170611,sink_recent__budget128__sink8
71,0.9976651651304206,sink_recent__budget128__sink8
72,0.9976849889895878,sink_recent__budget128__sink8
73,0.9976705949333546,sink_recent__budget128__sink8
74,0.9976668824313183,sink_recent__budget128__sink8
75,0.997692001393794,sink_recent__budget128__sink8
76,0.9976688361013466,sink_recent__budget128__sink8
77,0.9976828910276005,sink_recent__budget128__sink8
78,0.9976760158963136,sink_recent__budget128__sink8
