evicted_count,policy,retained_count,retention_fraction,role
0.0,none,21693.0,1.0,generated
0.0,none,11973.0,1.0,system
0.0,none,7348.0,1.0,template
0.0,none,9225.0,1.0,user
0.0,sink_recent__budget128__sink8,18172.0,1.0,generated
119.0,sink_recent__budget128__sink8,11386.0,0.9896566710126032,system
0.0,sink_recent__budget128__sink8,7192.0,1.0,template
0.0,sink_recent__budget128__sink8,8865.0,1.0,user
0.0,sliding_window__budget128,18736.0,1.0,generated
0.0,sliding_window__budget128,11973.0,1.0,system
131.0,sliding_window__budget128,7217.0,0.9821720195971693,template
0.0,sliding_window__budget128,9225.0,1.0,user
