decode_step,l2_retained_fraction,policy
0,1.0,none
1,1.0,none
2,1.0,none
3,1.0,none
4,1.0,none
5,1.0,none
6,1.0,none
7,1.0,none
8,1.0,none
9,1.0,none
10,1.0,none
11,1.0,none
12,1.0,none
13,1.0,none
14,1.0,none
15,1.0,none
16,1.0,none
17,1.0,none
18,1.0,none
19,1.0,none
20,1.0,none
21,1.0,none
22,1.0,none
23,1.0,none
24,1.0,none
25,1.0,none
26,1.0,none
27,1.0,none
28,1.0,none
29,1.0,none
30,1.0,none
31,1.0,none
32,1.0,none
33,1.0,none
34,1.0,none
35,1.0,none
36,1.0,none
37,1.0,none
38,1.0,none
39,1.0,none
40,1.0,none
41,1.0,none
42,1.0,none
43,1.0,none
44,1.0,none
45,1.0,none
46,1.0,none
47,1.0,none
48,1.0,none
49,1.0,none
50,1.0,none
51,1.0,none
52,1.0,none
53,1.0,none
54,1.0,none
55,1.0,none
56,1.0,none
57,1.0,none
58,1.0,none
59,1.0,none
60,1.0,none
61,1.0,none
62,1.0,none
63,1.0,none
64,1.0,none
65,1.0,none
66,1.0,none
67,1.0,none
68,1.0,none
69,1.0,none
70,1.0,none
71,1.0,none
72,1.0,none
73,1.0,none
74,1.0,none
75,1.0,none
76,1.0,none
77,1.0,none
78,1.0,none
79,1.0,none
80,1.0,none
81,1.0,none
82,1.0,none
83,1.0,none
84,1.0,none
85,1.0,none
86,1.0,none
87,1.0,none
88,1.0,none
89,1.0,none
90,1.0,none
91,1.0,none
92,1.0,none
93,1.0,none
94,1.0,none
95,1.0,none
96,1.0,none
97,1.0,none
0,0.8894970209882539,policy_pinned__budget128__sink8
1,0.9993477294526362,policy_pinned__budget128__sink8
2,0.999348738904383,policy_pinned__budget128__sink8
3,0.9991240082056687,policy_pinned__budget128__sink8
4,0.9991289684669629,policy_pinned__budget128__sink8
5,0.9991234418793857,policy_pinned__budget128__sink8
6,0.9991243857166485,policy_pinned__budget128__sink8
7,0.9991246934921085,policy_pinned__budget128__sink8
8,0.9991308977760132,policy_pinned__budget128__sink8
9,0.9991249818331076,policy_pinned__budget128__sink8
10,0.9990193176059247,policy_pinned__budget128__sink8
11,0.9990165725223116,policy_pinned__budget128__sink8
12,0.9990190706380407,policy_pinned__budget128__sink8
13,0.9990131068292479,policy_pinned__budget128__sink8
14,0.9990261891028178,policy_pinned__budget128__sink8
15,0.9990150197648918,policy_pinned__budget128__sink8
16,0.999019069852422,policy_pinned__budget128__sink8
17,0.9990161938562645,policy_pinned__budget128__sink8
18,0.999012249480434,policy_pinned__budget128__sink8
19,0.9990125032927456,policy_pinned__budget128__sink8
20,0.999018533685045,policy_pinned__budget128__sink8
21,0.9990123424293835,policy_pinned__budget128__sink8
22,0.9988840597431913,policy_pinned__budget128__sink8
23,0.9988722921357364,policy_pinned__budget128__sink8
24,0.9988794130302568,policy_pinned__budget128__sink8
25,0.99887979148511,policy_pinned__budget128__sink8
26,0.9988752942252216,policy_pinned__budget128__sink8
27,0.9988780982666612,policy_pinned__budget128__sink8
28,0.9988795984109764,policy_pinned__budget128__sink8
29,0.998870736990361,policy_pinned__budget128__sink8
30,0.998876541317266,policy_pinned__budget128__sink8
31,0.9988780269029265,policy_pinned__budget128__sink8
32,0.9988750176399682,policy_pinned__budget128__sink8
33,0.9988810004040625,policy_pinned__budget128__sink8
34,0.9988822935651577,policy_pinned__budget128__sink8
35,0.9988700366185805,policy_pinned__budget128__sink8
36,0.9988836335642114,policy_pinned__budget128__sink8
37,0.9988637757623076,policy_pinned__budget128__sink8
38,0.9988788210339969,policy_pinned__budget128__sink8
39,0.9988683789449168,policy_pinned__budget128__sink8
40,0.9988717409614539,policy_pinned__budget128__sink8
41,0.9988765504855907,policy_pinned__budget128__sink8
42,0.998874492506442,policy_pinned__budget128__sink8
43,0.9987015044790777,policy_pinned__budget128__sink8
44,0.9987018756359779,policy_pinned__budget128__sink8
45,0.998697158889617,policy_pinned__budget128__sink8
46,0.9984484494873846,policy_pinned__budget128__sink8
47,0.9984451947813031,policy_pinned__budget128__sink8
48,0.9984429530104469,policy_pinned__budget128__sink8
49,0.9984324657277058,policy_pinned__budget128__sink8
50,0.9980476369418263,policy_pinned__budget128__sink8
51,0.9980412631059327,policy_pinned__budget128__sink8
52,0.9980442539316052,policy_pinned__budget128__sink8
53,0.9980391497042419,policy_pinned__budget128__sink8
54,0.9980403203421484,policy_pinned__budget128__sink8
55,0.9980549968565627,policy_pinned__budget128__sink8
56,0.9980741327185837,policy_pinned__budget128__sink8
57,0.9980505183427488,policy_pinned__budget128__sink8
58,0.998067565772595,policy_pinned__budget128__sink8
59,0.9980473931122085,policy_pinned__budget128__sink8
60,0.9980455104309462,policy_pinned__budget128__sink8
61,0.9980473404597439,policy_pinned__budget128__sink8
62,0.9980612087974681,policy_pinned__budget128__sink8
63,0.9987132789305111,policy_pinned__budget128__sink8
64,0.9987024802760267,policy_pinned__budget128__sink8
65,0.9974169110714491,policy_pinned__budget128__sink8
66,0.9974119921344494,policy_pinned__budget128__sink8
67,0.9961168990512751,policy_pinned__budget128__sink8
