evicted_count,policy,retained_count,retention_fraction,role
0.0,none,15608.0,1.0,generated
0.0,none,20966.0,1.0,system
0.0,none,6410.0,1.0,template
0.0,none,116258.0,1.0,user
0.0,policy_pinned__budget128__sink8,12435.0,1.0,generated
0.0,policy_pinned__budget128__sink8,21590.0,1.0,system
206.0,policy_pinned__budget128__sink8,5852.0,0.9659953780125454,template
1976.0,policy_pinned__budget128__sink8,14402.0,0.8793503480278422,user
40.0,random_matched__budget128__seed991,11691.0,0.996590231011849,generated
162.0,random_matched__budget128__seed991,24197.0,0.9933494806847571,system
44.0,random_matched__budget128__seed991,6527.0,0.9933039111246386,template
2007.0,random_matched__budget128__seed991,20952.0,0.9125833006664054,user
0.0,sink_recent__budget128__sink8,12051.0,1.0,generated
249.0,sink_recent__budget128__sink8,20756.0,0.9881456796000953,system
10.0,sink_recent__budget128__sink8,5898.0,0.9983073798239676,template
1908.0,sink_recent__budget128__sink8,13654.0,0.877393651201645,user
0.0,sliding_window__budget128,10967.0,1.0,generated
78.0,sliding_window__budget128,18116.0,0.9957128723755084,system
128.0,sliding_window__budget128,5133.0,0.9756700247101312,template
1892.0,sliding_window__budget128,9311.0,0.8311166651789699,user
0.0,user_pinned__budget128__sink8,12051.0,1.0,generated
350.0,user_pinned__budget128__sink8,24204.0,0.9857457033477234,system
24.0,user_pinned__budget128__sink8,6612.0,0.9963833634719711,template
1884.0,user_pinned__budget128__sink8,21140.0,0.9181723419041,user
